country,territory1,iso_ter1,iso_sov1,ReefAdjacent,OnReef,Total,note
Martinique,Martinique,MTQ,FRA,58011,31326,89337,unit is 1k US dollar
Mauritius,Mauritius,MUS,MUS,164415,147974,312389,unit is 1k US dollar
Mexico,Mexico,MEX,MEX,1657394,1342489,2999883,unit is 1k US dollar
Micronesia,Micronesia,FSM,FSM,2481,15627,18108,unit is 1k US dollar
Mozambique,Mozambique,MOZ,MOZ,13070,55286,68356,unit is 1k US dollar
Myanmar,Myanmar,MMR,MMR,5568,6013,11581,unit is 1k US dollar
New Caledonia,New Caledonia,NCL,FRA,12113,16352,28465,unit is 1k US dollar
Nicaragua,Nicaragua,NIC,NIC,6381,4594,10975,unit is 1k US dollar
Northern Mariana Islands,Northern Mariana Islands,MNP,USA,16568,44734,61302,unit is 1k US dollar
Oman,Oman,OMN,OMN,143613,77551,221164,unit is 1k US dollar
Palau,Palau,PLW,PLW,12672,79831,92503,unit is 1k US dollar
Panama,Panama,PAN,PAN,94588,59590,154178,unit is 1k US dollar
Papua New Guinea,Papua New Guinea,PNG,PNG,8655,23369,32024,unit is 1k US dollar
Philippines,Philippines,PHL,PHL,451187,933957,1385144,unit is 1k US dollar
Puerto Rico,Puerto Rico,PRI,USA,510919,137948,648867,unit is 1k US dollar
Qatar,Qatar,QAT,QAT,99143,8923,108066,unit is 1k US dollar
Samoa,Samoa,WSM,WSM,8614,3876,12490,unit is 1k US dollar
Saudi Arabia,Saudi Arabia,SAU,SAU,135016,133665,268681,unit is 1k US dollar
Seychelles,Seychelles,SYC,SYC,38495,34646,73141,unit is 1k US dollar
Solomon Islands,Solomon Islands,SLB,SLB,4514,17470,21984,unit is 1k US dollar
Sri Lanka,Sri Lanka,LKA,LKA,75570,6801,82371,unit is 1k US dollar
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,KNA,9963,6277,16240,unit is 1k US dollar
Saint Lucia,Saint Lucia,LCA,LCA,32892,23682,56574,unit is 1k US dollar
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,VCT,9404,15235,24639,unit is 1k US dollar
Sudan,Sudan,SDN,SDN,4051,24429,28480,unit is 1k US dollar
Taiwan,Taiwan,TWN,TWN,274102,49338,323440,unit is 1k US dollar
Tanzania,Tanzania,TZA,TZA,65867,65209,131076,unit is 1k US dollar
Thailand,Thailand,THA,THA,1331577,1078577,2410154,unit is 1k US dollar
Tonga,Tonga,TON,TON,3776,9515,13291,unit is 1k US dollar
Trinidad and Tobago,Trinidad and Tobago,TTO,TTO,19131,25827,44958,unit is 1k US dollar
Turks and Caicos Islands,Turks and Caicos Islands,TCA,GBR,30027,67560,97587,unit is 1k US dollar
United Arab Emirates,United Arab Emirates,ARE,ARE,377673,67981,445654,unit is 1k US dollar
United States_florida,United States,USA,USA,850614,306221,1156835,unit is 1k US dollar
Hawaii,Hawaii,,USA,680052,550842,1230894,unit is 1k US dollar
Vanuatu,Vanuatu,VUT,VUT,20488,29503,49991,unit is 1k US dollar
Venezuela,Venezuela,VEN,VEN,183029,98836,281865,unit is 1k US dollar
Vietnam,Vietnam,VNM,VNM,116479,20966,137445,unit is 1k US dollar
Virgin Islands of the United States,United States Virgin Islands,VIR,USA,127215,148841,276056,unit is 1k US dollar
United States,Hawaii and Florida,,,1530666,857063,2387729,unit is 1k US dollar
