OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime,absLatitude,speed_annual,temperature_annual,Reference,ott_id
Salmacis bicolor,Salmacis bicolor,Temnopleuridae,Temnopleuroida,Echinoidea,Echinodermata,Salmacis,N,13,80,P,100,23,13,0.308129863,28.25659943,Aiyar 1935,ott335256
Eunice kobiensis,Eunice kobiensis,Eunicidae,Eunicida,Polychaeta,Annelida,Eunice,N,48.537522,-123,L,310,NA,48.537522,0.220556316,9.867109299,Akesson 1967,ott162291
Eunice valens,Leodice valens,Eunicidae,Eunicida,Polychaeta,Annelida,Leodice,N,48.537522,-123,L,310,NA,48.537522,0.220556316,9.867109299,Akesson 1967,NA
Ophryotrocha hartmanni,Ophryotrocha hartmanni,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,36.668419,-4,L,160,NA,36.668419,0.250871392,17.79549026,Akesson 1973,NA
Ophryotrocha labronica,Ophryotrocha labronica,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,40.840308,14,L,120,NA,40.840308,0.063237197,19.15680885,Akesson 1973,NA
Ophryotrocha bacci,Ophryotrocha baccii,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,61.614681,17,L,250,NA,61.614681,0.0395933,6.084489822,Akesson 1973,NA
Ophyotrocha maculata,Ophryotrocha maculata,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,58.403151,12,L,125,NA,58.403151,0.00693357,9.55880928,Akesson 1974,NA
Ophryotrocha diadema,Ophryotrocha diadema,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,33,-117,L,190,NA,33,0.205243114,6.667709827,Akesson 1976,NA
Macrophiothrix lorioli,Macrophiothrix lorioli,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,166,23,14,0.257141842,26.78990936,Allen & Podolsky 2007,ott763535
Macrophiothrix belli,Macrophiothrix belli,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,L,406,3,14,0.257141842,26.78990936,Allen & Podolsky 2007,ott763535
Macrophiothrix longipeda,Macrophiothrix longipeda,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,155,14,14,0.257141842,26.78990936,Allen & Podolsky 2007,ott763535
