OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime,absLatitude,speed_annual,temperature_annual,Reference,ott_id
Macrophiothrix rhabdota,Macrophiothrix rhabdota,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,230,6.88,14,0.257141842,26.78990936,Allen & Podolsky 2007,ott763535
Macrophiothrix nereidina,Macrophiothrix nereidina,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,L,266,2.95,14,0.257141842,26.78990936,Allen & Podolsky 2007,ott763535
Macrophiothrix koehleri,Macrophiothrix koehleri,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,147,32,14,0.257141842,26.78990936,Allen & Podolsky 2007,ott763535
Macrophiothrix caenosa,Macrophiothrix caenosa,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,L,242,5,14,0.257141842,26.78990936,Allen & Podolsky 2007,ott763535
Spirobranchus tricornis,Spirobranchus giganteus,Serpulidae,Sabellida,Polychaeta,Annelida,Spirobranchus,N,18,-67,P,83,NA,18,0.032271248,27.12110901,Allen 1957,ott906173
Diopatra cuprea,Diopatra cuprea,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,41.524773,-71,P,220,NA,41.524773,0.071645968,11.21480942,Allen 1959,ott1042378
Autolytus fasciatus,Proceraea fasciata,Syllidae,Phyllodocida,Polychaeta,Annelida,Proceraea,N,18,-67,P,100,NA,18,0.032271248,27.12110901,Allen 1964,ott457824
Elysia stylifera,Elysia stylifera,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,S,-27,153,P,71,NA,27,0.057735343,23.96480942,Allen et al 2009,ott322154
Asthenosoma ijimai,Asthenosoma ijimai,Echinothuriidae,Echinothurioida,Echinoidea,Echinodermata,Asthenosoma,N,34,132,L,1200,21,34,0.123060811,18.36749077,Amemiya & Tsuchiya 1979,ott788004
Crepidula plana,Crepidula plana,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,41,-70,P,136,13,41,0.031781489,10.3125906,Ament 1979,ott24075
Haploscoloplos fragilis,Leitoscoloplos fragilis,Orbiniidae,,Polychaeta,Annelida,Leitoscoloplos,S,-33,151.159515,L,150,4,33,0.585780803,20.54590988,Anderson 1961,ott760483
Chelidonura varians,Chelidonura varians,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,55,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott823227
Chelidonura sandrana,Chelidonura sandrana,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,45,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott823227
Chelidonura fulvipunctat,Chelidonura fulvipunctata,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,60,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott823227
Chelidonura pallida,Chelidonura pallida,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,55,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott823227
Melanochlamys sp.,Melanochlamys,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Melanochlamys,S,-14,145,P,110,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott828148
Melanochlamys diomedea,Melanochlamys diomedea,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Melanochlamys,N,48,-123,P,53,NA,48,0.136874763,9.787690163,Anthes & Michiels 2007,ott828148
Melanochlamys spp.,Melanochlamys,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Melanochlamys,S,-14,145,P,105,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott828148
Navanax inermis,Navanax inermis,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Navanax,N,25,-111,P,100,NA,25,0.191319313,24.9375,Anthes & Michiels 2007,ott621617
Philinopsis cyanea,Philinopsis speciosa,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,140,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott621615
Philinopsis gardineri,Philinopsis gardineri,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,95,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott621615
Philinopsis lineolata,Philinopsis lineolata,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,65.25,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott621615
Philinopsis pilsbryi,Philinopsis pilsbryi,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,70,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott621615
Philinopsis reticulata,Philinopsis reticulata,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,70,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott621615
Siphopteron pohnpei,Sagaminopteron pohnpei,Gastropteridae,Cephalaspidea,Gastropoda,Mollusca,Sagaminopteron,S,-14,145,P,71,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott151175
Siphopteron sp.,Siphopteron,Gastropteridae,Cephalaspidea,Gastropoda,Mollusca,Siphopteron,S,-14,145,P,120,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott492369
Siphopteron quadrispinos,Siphopteron quadrispinosum,Gastropteridae,Cephalaspidea,Gastropoda,Mollusca,Siphopteron,S,-14,145,P,76,NA,14,0.389974561,26.9333992,Anthes & Michiels 2007,ott492369
Echinaster echinophorus,Echinaster echinophorus,Echinasteridae,Spinulodisa,Asteroidea,Echinodermata,Echinaster,N,30,-83,L,860,6,30,0.017389743,22.06800079,Atwood 1973,ott893170
Echinaster echinophorus,Echinaster echinophorus,Echinasteridae,Spinulodisa,Asteroidea,Echinodermata,Echinaster,N,30,-83,L,860,6,30,0.017389743,22.06800079,Atwood 1973,ott893170
Astreopora myriophthalma,Astreopora myriophthalma,Acroporidae,Scleractinia,Anthozoa,Cnidaria,Astreopora,S,-18,146,L,538,NA,18,0.257141842,26.75159073,Baird et al. 2001,ott145356
Favites halicora,Favites halicora,Faviidae,Scleractinia,Anthozoa,Cnidaria,Favites,S,-18,146,L,401,NA,18,0.257141842,26.75159073,Baird et al. 2001,NA
Goniastrea retiformis,Goniastrea retiformis,Faviidae,Scleractinia,Anthozoa,Cnidaria,Goniastrea,S,-18,146,L,371,NA,18,0.257141842,26.75159073,Baird et al. 2001,ott34489
Montipora digitata,Montipora digitata,Acroporidae,Scleractinia,Anthozoa,Cnidaria,Montipora,S,-18,146,L,337,NA,18,0.257141842,26.75159073,Baird et al. 2001,ott134705
Pachyseris speciosa,Pachyseris speciosa,Agariciidae,Scleractinia,Anthozoa,Cnidaria,Pachyseris,S,-18,146,L,368,NA,18,0.257141842,26.75159073,Baird et al. 2001,ott387481
Sabella (Demonax) media,Parasabella media,Sabellidae,Sabellida,Polychaeta,Annelida,Parasabella,N,48.537522,-123,L,200,NA,48.537522,0.220556316,9.867109299,Banse 1979; McEuen et al. 1983,ott4987177
Coscinasterias calamaria,Coscinasterias calamaria,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Coscinasterias,S,-36,174,P,150,27,36,0.091147681,17.83588982,Barker 1978,ott987829
Stichaster australis,Stichaster australis,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Stichaster,S,-40,174,P,130,38,40,0.238261311,15.10259056,Barker 1978,ott772173
Brisinga endecacnemos,Brisinga endecacnemos,Brisingidae,Forcipulatida,Asteroidea,Echinodermata,Brisinga,N,57,-10,L,1250,NA,57,0.070035989,11.3216095,Barnes & Barnes 1965,ott3657351
Brisingella coronata,Hymenodiscus coronata,Brisingidae,Forcipulatida,Asteroidea,Echinodermata,Hymenodiscus,N,51,-13,L,1250,NA,51,0.030995979,12.9836092,Barnes & Barnes 1965,ott912599
Holothuria fuscogilva,Holothuria (Microthele) fuscogilva,Holothuriidae,Aspidochirotida,Holothuroid,Echinodermata,Holothuria,S,-9,159,P,151.7,NA,9,0.137619465,29.08510971,Battaglene et al. 2002,ott924443
Spirorbis granulatus,Bushiella (Jugaria) granulata,Spirorbidae,Sabellida,Polychaeta,Annelida,Bushiella,N,59.509242,10,L,140,NA,59.509242,0.157437,9.339609146,Bergan 1953,ott511721
Branchiomma nigromaculat,Branchiomma nigromaculatum,Sabellidae,Sabellida,Polychaeta,Annelida,Branchiomma,N,21,-157,L,135,NA,21,0.111114649,25.24470901,Berill 1977,ott1015093
Fabricia sabella,Fabricia stellaris,Sabellidae,Sabellida,Polychaeta,Annelida,Fabricia,N,55.801281,12,L,210,NA,55.801281,0.086931549,9.373809814,Berill 1977,ott981512
Strongylocentrotus purpu,Strongylocentrotus purpuratus,Strongylocentro,Echinoida,Echinoidea,Echinodermata,Strongylocentrotus,N,49,-125,P,82,51,49,0.040957509,10.52399063,Bertram et al 2009,ott564714
Flabelligera pennigera,Flabelligera pennigera,Flabelligeridae,Terebellida,Polychaeta,Annelida,Flabelligera,S,-49,69.647827,L,600,NA,49,0.062233934,3.829210043,Bhaud & Duchene 1996,ott805973
Platynereis magalhaensis,Platynereis magalhaensis,Nereidae,Phyllodocida,Polychaeta,Annelida,Platynereis,S,-49,69.647827,L,450,NA,49,0.062233934,3.829210043,Bhaud & Duchene 1997,ott268486
Melibe leonina,Melibe leonina,Tethydidae,Nudibranchia,Gastropoda,Mollusca,Melibe,N,49,-125,P,90,38,49,0.040957509,10.52399063,Bickel & Kempf 1983,ott662116
Mediaster aequalis,Mediaster aequalis,Goniasteridae,Valvatida,Asteroidea,Echinodermata,Mediaster,N,50,-122,L,1100,33,50,0.040957509,10.41240978,Birkeland et al 1971,ott658155
Bembicium nanum,Bembicium nanum,Littorinidae,,Gastropoda,Mollusca,Bembicium,S,-33,152,P,100,NA,33,0.649368987,20.55579948,Black et al. 1994,ott789214
Bembicium melanostoma,Bembicium melanostoma,Littorinidae,,Gastropoda,Mollusca,Bembicium,S,-34,138,L,200,NA,34,0.144487574,17.60709953,Black et al. 1994,ott789214
Pseudopolydora paucibran,Pseudopolydora paucibranchiata,Spionidae,Spionida,Polychaeta,Annelida,Pseudopolydora,N,38.24627,-123,P,100,NA,38.24627,0.165433632,11.53059006,Blake & Woodwick 1975,ott328224
Pseudopolydora kempi,Pseudopolydora kempi,Spionidae,Spionida,Polychaeta,Annelida,Pseudopolydora,N,38.24627,-123,L,165,2,38.24627,0.165433632,11.53059006,Blake & Woodwick 1975,ott328224
Polydora concharum,Dipolydora concharum,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,43.691708,-70,P,220,NA,43.691708,0.050230938,9.315690041,Blake 1969,ott382879
Polydora quarilobata,Dipolydora quadrilobata,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,43.691708,-70,P,190,NA,43.691708,0.050230938,9.315690041,Blake 1969,ott382879
Polydora websteri,Polydora websteri,Spionidae,Spionida,Polychaeta,Annelida,Polydora,N,43.691708,-70,P,140,NA,43.691708,0.050230938,9.315690041,Blake 1969,ott918307
Polydora aggregata,Polydora aggregata,Spionidae,Spionida,Polychaeta,Annelida,Polydora,N,43.691708,-70,P,120,NA,43.691708,0.050230938,9.315690041,Blake 1969,ott918307
Chrysopetalum bellis,Chrysopetalum,Chrysopetalidae,Phyllodocida,Polychaeta,Annelida,Chrysopetalum,N,38.24627,-123,P,70,NA,38.24627,0.165433632,11.53059006,Blake 1975,ott151156
Gyptis brunnea,Gyptis brunnea,Hesionidae,Phyllodocida,Polychaeta,Annelida,Gyptis,N,38.24627,-123,L,100,NA,38.24627,0.165433632,11.53059006,Blake 1975,ott1009761
Halosydna brevisetosa,Halosydna brevisetosa,Polynoidae,Phyllodocida,Polychaeta,Annelida,Halosydna,N,38.24627,-123,P,110,NA,38.24627,0.165433632,11.53059006,Blake 1975,ott494969
Northria elegans,Onuphis elegans,Onuphidae,Eunicida,Polychaeta,Annelida,Onuphis,N,38.24627,-123,L,230,NA,38.24627,0.165433632,11.53059006,Blake 1975,ott433141
Anaitides williamsi,Phyllodoce williamsi,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Phyllodoce,N,38.24627,-123,P,88,NA,38.24627,0.165433632,11.53059006,Blake 1975,ott398723
Leitoscoloplos pugettens,Leitoscoloplos pugettensis,Orbiniidae,,Polychaeta,Annelida,Leitoscoloplos,N,38.24627,-123,L,200,NA,38.24627,0.165433632,11.53059006,Blake 1980,ott760483
Scoloplos acmeceps,Scoloplos acmeceps,Orbiniidae,,Polychaeta,Annelida,Scoloplos,N,38.24627,-123,L,200,NA,38.24627,0.165433632,11.53059006,Blake 1980,ott918301
Aurospiro dibranchiata,Aurospio dibranchiata,Spionidae,Spionida,Polychaeta,Annelida,Aurospio,N,34.558597,-76,P,85,NA,34.558597,0.086146361,22.96558952,Blake 1993,ott752046
Pholoe anoculata,Pholoe anoculata,Sigalionidae,Phyllodocida,Polychaeta,Annelida,Pholoe,N,55.372868,-1,L,190,NA,55.372868,0.081551171,9.931690216,Blake 1993,ott398717
Marenzelleria viridis,Marenzelleria viridis,Spionidae,Spionida,Polychaeta,Annelida,Marenzelleria,N,54,12,P,175,12,54,0.020724543,9.273509979,Bochert & Bick 1995,ott4324
Dasybranchus caducus,Dasybranchus caducus,Capitellidae,,Polychaeta,Annelida,Dasybranchus,N,25,-79,L,95,NA,25,0.504045503,26.65699959,Bookhout 1957,ott365429
Axiothella mucosa,Clymenella mucosa,Maldanidae,,Polychaeta,Annelida,Clymenella,N,34.716835,-76,L,255,NA,34.716835,0.086146361,22.96558952,Bookout & Horn 1949,ott148575
Crepidula fornicata,Crepidula fornicata,Calyptraeidae,Neotaenioglossa,Gastropoda,Mollusca,Crepidula,N,48,-3,P,170,NA,48,0.07694893,13.87839031,Brante et al 2008,ott24075
Parvulastra parvivipara,Parvulastra parvivipara,Asterinidae,Valvatida,Asteroidea,Echinodermata,Parvulastra,S,-34,135,L,135,NA,34,0.024184786,17.07759094,Bryne & Cerra 1996,ott881870
Parvulastra vivipara,Parvulastra vivipara,Asterinidae,Valvatida,Asteroidea,Echinodermata,Parvulastra,S,-42,147,L,148,NA,42,0.247528596,14.42409039,Bryne & Cerra 1996,ott881870
Lumbrinereis japonica,Lumbrineris japonica,Lumbrinereidae,Eunicida,Polychaeta,Annelida,Lumbrineris,N,42.650374,131,L,310,NA,42.650374,0.190848105,8.874400139,Buzhinskaya 1982,ott834687
Sabellastarte spectabili,Sabellastarte spectabilis,Sabellidae,Sabellida,Polychaeta,Annelida,Sabellastarte,N,21,-157,L,175,6.67,21,0.111114649,25.24470901,Bybee et al 2006,ott992905
Cryptasterina pentagona,Cryptasterina pentagona,Asterinidae,Spinulosida,Asteroidea,Echinodermata,Cryptasterina,S,-19,146,L,413,6,19,0.257141842,26.78990936,Byrne et al 2003,ott831359
Aplysia californica,Aplysia californica,Anaspidea,Anaspidea,Gastropoda,Mollusca,Aplysia,N,33,-118,P,85,35,33,0.018636925,17.13749123,Capo et al 2009,ott126322
Hydroides elegans,Hydroides elegans,Serpulidae,Sabellida,Polychaeta,Annelida,Hydroides,N,21,-157,P,45,4.5,21,0.111114649,25.24470901,Carpizo-Ituarte & Hadfield 1998,ott327392
Hyalinoecia araucana,Hyalinoecia araucana,Onuphidae,Eunicida,Polychaeta,Annelida,Hyalinoecia,S,-37,-73,L,300,NA,37,0.370589849,13.02869034,Carrasco 1983,ott1025752
Asterina stellifera,Asterina stellifera,Asterinidae,Valvatida,Asteroidea,Echinodermata,Asterina,S,-22,-42,P,90,NA,22,0.346509196,22.40339088,Carvalho & Ventura 2002,ott977095
Glycera convoluta,Glycera tridactyla,Glyceridae,Phyllodocida,Polychaeta,Annelida,Glycera,N,44.667066,-1,P,130,NA,44.667066,0.047790446,15.94629955,Cazaux 1967,ott941631
Glycera tridactyla,Glycera tridactyla,Glyceridae,Phyllodocida,Polychaeta,Annelida,Glycera,N,44.667066,-1,P,140,NA,44.667066,0.047790446,15.94629955,Cazaux 1967,ott941631
Nereis irrorata,Neanthes nubila,Nereidae,Phyllodocida,Polychaeta,Annelida,Neanthes,N,44.667066,-1,P,210,NA,44.667066,0.047790446,15.94629955,Cazaux 1967,ott563194
Parapionosyllis gestans,Parapionosyllis gestans,Syllidae,Phyllodocida,Polychaeta,Annelida,Parapionosyllis,N,44.667066,-1,L,170,NA,44.667066,0.047790446,15.94629955,Cazaux 1967,ott315157
Pholoe synophtalmica,Pholoe inornata,Sigalionidae,Phyllodocida,Polychaeta,Annelida,Pholoe,N,44.667066,-1,P,78,NA,44.667066,0.047790446,15.94629955,Cazaux 1967,ott398717
Syllis variegata,Syllis variegata,Syllidae,Phyllodocida,Polychaeta,Annelida,Syllis,N,44.666577,-1,P,75,NA,44.666577,0.047790446,15.94629955,Cazaux 1969,ott608534
Lumbrinereis impatiens,Scoletoma impatiens,Lumbrineridae,Eunicida,Polychaeta,Annelida,Scoletoma,N,44.666577,-1,L,220,NA,44.666577,0.047790446,15.94629955,Cazaux 1970,ott499832
Nicolea zostericola,Nicolea zostericola,Terebellidae,Terebellida,Polychaeta,Annelida,Nicolea,N,42.42371,-71,L,250,NA,42.42371,0.015552108,10.29349041,Cazaux 1970; Eckelbarger 1974,ott841679
Lagisca extenuata,Harmothoe extenuata,Polynoidae,Phyllodocida,Polychaeta,Annelida,Harmothoe,N,44.666577,-1,P,95,NA,44.666577,0.047790446,15.94629955,Cazaux 1972,ott1067342
Clymenura clypeata,Leiochone leiopygos,Maldanidae,,Polychaeta,Annelida,Leiochone,N,44.666577,-1,L,250,NA,44.666577,0.047790446,15.94629955,Cazaux 1972,ott4977585
Lumbrinereis tetraura,Lumbrineris tetraura,Lumbrineridae,Eunicida,Polychaeta,Annelida,Lumbrineris,N,44.666577,-1,L,225,NA,44.666577,0.047790446,15.94629955,Cazaux 1972,ott834687
Grybeoyllis limbata,Salvatoria limbata,Syllidae,Phyllodocida,Polychaeta,Annelida,Salvatoria,N,44.666577,-1,L,85,NA,44.666577,0.047790446,15.94629955,Cazaux 1972,ott938777
Sphaerosyllis bulbosa,Sphaerosyllis bulbosa,Syllidae,Phyllodocida,Polychaeta,Annelida,Sphaerosyllis,N,44.666577,-1,L,90,NA,44.666577,0.047790446,15.94629955,Cazaux 1972,ott315166
Ditrupa arietina,Ditrupa arietina,Serpulidae,Sabellida,Polychaeta,Annelida,Ditrupa,N,42,3,P,75,NA,42,0.057204852,16.71149063,Charles et al. 2003,ott957229
Rostanga pulchra,Rostanga pulchra,Rostangidae,Nudibranchia,Gastropoda,Mollusca,Rostanga,N,48,-123,P,73,35,48,0.136874763,9.787690163,Chia & Koss 1978,ott779149
Limapontia depressa,Limapontia depressa,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Limapontia,N,55,-1,P,80,NA,55,0.081551171,9.94230938,Chia 1970,ott492223
Limapontia capitata,Limapontia capitata,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Limapontia,N,55,-1,P,82,NA,55,0.081551171,9.94230938,Chia 1970,ott492223
Limapontia senestra as c,Limapontia senestra,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Limapontia,N,55,-1,L,200,NA,55,0.081551171,9.94230938,Chia 1971,ott492223
Diopatra neopolitana,Diopatra neapolitana,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,34.770948,137,L,200,NA,34.770948,0.191808836,19.32069016,Choe 1960,ott1042378
Sphaerodoris gracilis,Sphaerodorum gracilis,Sphaerodoridae,Phyllodocida,Polychaeta,Annelida,Sphaerodorum,N,55.372868,-1,L,225,NA,55.372868,0.081551171,9.931690216,Christie 1984,ott649026
Trichobranchus glacialis,Trichobranchus glacialis,Terebellidae,Terebellida,Polychaeta,Annelida,Trichobranchus,N,55.372868,-1,L,175,NA,55.372868,0.081551171,9.931690216,Christie 1986,ott717442
Ophiarachnella gorgonia,Ophiarachnella gorgonia,Ophiodermatidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiarachnella,S,-14,145,L,320,2.5,14,0.389974561,26.9333992,Cisternas & Bryne 2005,ott3654785
Caliphylla mediteranea,Caliphylla mediterranea,Polybranchiidae,Sacoglossa,Gastropoda,Mollusca,Caliphylla,N,24,-81,P,89.2,NA,24,1.209522203,26.99490929,Clark & Goetzfried 1978,ott231031
Ercolania funerea,Ercolania viridis,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,N,24,-81,P,59.5,NA,24,1.209522203,26.99490929,Clark & Goetzfried 1978,ott1076308
Lobiger souverbii,Lobiger souverbii,Oxynoidae,Sacoglossa,Gastropoda,Mollusca,Lobiger,N,24,-81,P,54.6,NA,24,1.209522203,26.99490929,Clark & Goetzfried 1978,ott1036542
Oxynoe antillarum,Oxynoe antillarum,Oxynoidae,Sacoglossa,Gastropoda,Mollusca,Oxynoe,N,24,-81,P,62.5,NA,24,1.209522203,26.99490929,Clark & Goetzfried 1978,ott588314
Berthelinia caribbea,Berthelinia caribbea,Juliidae,Sacoglossa,Gastropoda,Mollusca,Berthelinia,N,24,-81,L,100,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott5719938
Bosellia mimetica,Bosellia mimetica,Boselliidae,Sacoglossa,Gastropoda,Mollusca,Bosellia,N,24,-81,P,59,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott462111
Costasiella nonatoi,Costasiella nonatoi,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Costasiella,N,32,-65,P,69,NA,32,0.0156624,23.06729126,Clark & Jensen 1981,ott639889
Cyerce antillensis,Cyerce antillensis,Polybranchiidae,Sacoglossa,Gastropoda,Mollusca,Cyerce,N,24,-81,L,112,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott898991
Elysia timida,Elysia timida,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,32,35,L,120,NA,32,0.3087705,22.63718987,Clark & Jensen 1981,ott322154
Elysia serca,Elysia serca,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,P,61,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott322154
Elysia evelinae,Elysia evelinae,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,L,104,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott322154
Ercolania fuscata,Ercolania fuscata,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,N,24,-81,P,60,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott1076308
Ercolania caerula,Ercolania coerulea,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,N,24,-81,P,70,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott1076308
Hermaea cruciata,Hermaea cruciata,Hermaeidae,Sacoglossa,Gastropoda,Mollusca,Hermaea,N,24,-81,P,77,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott231028
Mourgona murca as germai,Mourgona murca,Polybranchiidae,Sacoglossa,Gastropoda,Mollusca,Mourgona,N,24,-81,P,62,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott1036540
Placida kingstoni,Placida kingstoni,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Placida,N,24,-81,P,60,NA,24,1.209522203,26.99490929,Clark & Jensen 1981,ott322147
Volvatella bermudae,Volvatella bermudae,Volvatellidae,Sacoglossa,Gastropoda,Mollusca,Volvatella,N,32,-65,P,66,NA,32,0.0156624,23.06729126,Clark & Jensen 1981,ott665614
Aeolidia papillosa,Aeolidia papillosa,Aeolidiidae,Nudibranchia,Gastropoda,Mollusca,Aeolidia,N,41,-71,P,82.3,NA,41,0.02300504,11.30280972,Clark 1975,ott823221
Ancula gibbosa,Ancula gibbosa,Goniodorididae,Nudibranchia,Gastropoda,Mollusca,Ancula,N,41,-71,P,74,NA,41,0.02300504,11.30280972,Clark 1975,ott739828
Catriona aurantia,Catriona aurantia,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Catriona,N,41,-71,L,149.1,NA,41,0.02300504,11.30280972,Clark 1975,ott2876274
Cratena pilata,Cratena pilata,Glaucidae,Nudibranchia,Gastropoda,Mollusca,Cratena,N,41,-71,P,74.8,NA,41,0.02300504,11.30280972,Clark 1975,ott299491
Dendronotus frondosus,Dendronotus frondosus,Dendronotidae,Nudibranchia,Gastropoda,Mollusca,Dendronotus,N,41,-71,P,113.4,NA,41,0.02300504,11.30280972,Clark 1975,ott553083
Doris verrucosa,Doris verrucosa,Dorididae,Nudibranchia,Gastropoda,Mollusca,Doris,N,41,-71,P,93.7,NA,41,0.02300504,11.30280972,Clark 1975,ott860557
Doto coronata,Doto coronata,Dotidae,Nudibranchia,Gastropoda,Mollusca,Doto,N,41,-71,P,89.5,NA,41,0.02300504,11.30280972,Clark 1975,ott536796
Stiliger fuscatus,Ercolania fuscata,Limapontiidae,Nudibranchia,Gastropoda,Mollusca,Ercolania,N,41,-71,P,64.5,NA,41,0.02300504,11.30280972,Clark 1975,ott1076308
