Family,Genus,Species,Genus_species,Body_size,PLD_mean,Egg_type,Group
APOGONIDAE,Gymnapogon,urospilotus,Gymnapogon urospilotus,3.6,34.6,DEM,Cryptobenthic
CHAENOPSIDAE,Acanthemblemaria,aspera,Acanthemblemaria aspera,4,20.7,DEM,Cryptobenthic
DACTYLOSCOPIDAE,Gillellus,uranidea,Gillellus uranidea,4.5,20.9,DEM,Cryptobenthic
GOBIIDAE,Barbulifer,ceuthoecus,Barbulifer ceuthoecus,3,39.2,DEM,Cryptobenthic
GOBIIDAE,Coryphopterus,kuna,Coryphopterus kuna,2.2,61.35,DEM,Cryptobenthic
GOBIIDAE,Elacatinus,evelynae,Elacatinus evelynae,4,22.3,DEM,Cryptobenthic
GOBIIDAE,Elacatinus,randalli,Elacatinus randalli,4.6,38,DEM,Cryptobenthic
GOBIIDAE,Eviota,melasma,Eviota melasma,3.2,26.2,DEM,Cryptobenthic
GOBIIDAE,Eviota,queenslandica,Eviota queenslandica,3,24.2,DEM,Cryptobenthic
GOBIIDAE,Eviota,sigillata,Eviota sigillata,2.5,24.7,DEM,Cryptobenthic
GOBIIDAE,Gobiosoma,grosvenori,Gobiosoma grosvenori,3,21.3,DEM,Cryptobenthic
GOBIIDAE,Paragobiodon,echinocephalus,Paragobiodon echinocephalus,4,36,DEM,Cryptobenthic
GOBIIDAE,Paragobiodon,lacunicolus,Paragobiodon lacunicolus,3,31,DEM,Cryptobenthic
GOBIIDAE,Paragobiodon,melanosomus,Paragobiodon melanosomus,3.5,42.3,DEM,Cryptobenthic
GOBIIDAE,Priolepis,hipoliti,Priolepis hipoliti,4,55.4,DEM,Cryptobenthic
GOBIIDAE,Trimma,benjamini,Trimma benjamini,3,33.9,DEM,Cryptobenthic
GOBIIDAE,Trimma,nasa,Trimma nasa,2.8,33.9,DEM,Cryptobenthic
TRIPTERYGIIDAE,Axoclinus,nigricaudus,Axoclinus nigricaudus,4.5,18,DEM,Cryptobenthic
TRIPTERYGIIDAE,Enneapterygius,atriceps,Enneapterygius atriceps,2.6,30,DEM,Cryptobenthic
APOGONIDAE,Apogon,aurolineatus,Apogon aurolineatus,6.4,19.5,DEM,Parental care
APOGONIDAE,Apogon,binotatus,Apogon binotatus,15,20.1,DEM,Parental care
