,SciName,PLD,database,Family_aqua,Family_fishbase,Family_marshall,Family_manual,Note,References
1,Auxis rochei,16,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
2,Coregonus schinzii,29,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
3,Sciaenops ocellatus,22,Fish and Inverts (Ramesh),Sciaenidae,Sciaenidae,NA,Sciaenidae,,
4,Scomber thazard,10,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
5,Anchoviella mauii,35,Fish and Inverts (Ramesh),NA,NA,NA,Engraulidae,,
6,Solea vulgaris vulgaris,35,Fish and Inverts (Ramesh),NA,NA,NA,Soleidae,,
7,Alosa pilchardus,40,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
8,Sardina pilchardus,40,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
9,Sardinella aurita,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
10,Thunnus albacares,25,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
11,Thunnus albacares,25,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
12,Thunnus albacares,25,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
13,Coregonus artedii,26,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
14,Clupea harengus membras,160,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
15,Thunnus maccoyii,24,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
16,Auxis thazzard,10,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
17,Sparus aurata,50,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
18,Sardinella pinnula,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
19,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
20,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
21,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
22,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
23,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
24,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
25,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
26,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
27,Trachurus symmetricus,0,Fish and Inverts (Ramesh),Carangidae,Carangidae,NA,Carangidae,,
28,Auxis vulgaris,16,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
29,Amblyglyphidodon curacao,13,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
