"","SciName","family","m_index","movement_keyword","mean_pld","sd_pld","n_mean","mean_pld_family","sd_pld_family","n_mean_family","pld"
"422","Paralichthys dentatus","Paralichthyidae",2,"habitat_benthic",102.77,1.89739294823186,3,102.77,1.89739294823186,3,102.77
"423","Paralichthys olivaceus","Paralichthyidae",2,"habitat_benthic",NA,NA,NA,102.77,1.89739294823186,3,102.77
"424","Loxechinus albus","Parechinidae",1,"sedentary",26.5,0,1,NA,NA,NA,26.5
"425","Aequipecten opercularis","Pectinidae",1,"sedentary",NA,NA,NA,25,0.866025403784439,3,25
"426","Argopecten irradians","Pectinidae",1,"sedentary",NA,NA,NA,25,0.866025403784439,3,25
"427","Argopecten ventricosus","Pectinidae",1,"sedentary",NA,NA,NA,25,0.866025403784439,3,25
"428","Pecten jacobaeus","Pectinidae",1,"sedentary",24.5,0,1,25,0.866025403784439,3,24.5
"429","Pecten maximus","Pectinidae",1,"sedentary",25.25,1.06066017177982,2,25,0.866025403784439,3,25.25
"430","Pecten novaezelandiae","Pectinidae",1,"sedentary",NA,NA,NA,25,0.866025403784439,3,25
"431","Placopecten magellanicus","Pectinidae",1,"sedentary",NA,NA,NA,25,0.866025403784439,3,25
"432","Artemesia longinaris","Penaeidae",2,"habitat_benthic",NA,NA,NA,14,0,2,14
"433","Metapenaeus endeavouri","Penaeidae",2,"habitat_benthic",NA,NA,NA,14,0,2,14
"434","Metapenaeus joyneri","Penaeidae",2,"habitat_coastal",NA,NA,NA,14,0,2,14
"435","Metapenaeus monoceros","Penaeidae",1,"sedentary",NA,NA,NA,14,0,2,14
"436","Parapenaeus longirostris","Penaeidae",2,"habitat_benthic",NA,NA,NA,14,0,2,14
"437","Penaeus monodon","Penaeidae",2,"habitat_benthic",14,0,2,14,0,2,14
"438","Penaeus penicillatus","Penaeidae",2,"habitat_benthic",NA,NA,NA,14,0,2,14
"439","Penaeus semisulcatus","Penaeidae",3,"migratory",NA,NA,NA,14,0,2,14
"440","Xiphopenaeus kroyeri","Penaeidae",2,"habitat_benthic",NA,NA,NA,14,0,2,14
"441","Paristiopterus labiosus","Pentacerotidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"442","Galeus melastomus","Pentanchidae",2,"habitat_deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"443","Percophis brasiliensis","Percophidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"444","Petromyzon marinus","Petromyzontidae",3,"migratory",NA,NA,NA,NA,NA,NA,43.0493696758551
"445","Phycis blennoides","Phycidae",3,"migratory",NA,NA,NA,NA,NA,NA,43.0493696758551
"446","Phycis phycis","Phycidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"447","Urophycis brasiliensis","Phycidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"448","Urophycis chuss","Phycidae",3,"migratory",NA,NA,NA,NA,NA,NA,43.0493696758551
"449","Urophycis tenuis","Phycidae",3,"migratory",NA,NA,NA,NA,NA,NA,43.0493696758551
