"","SpeciesID","SciName","family","Fbname","m_index","movement_keyword","source","notes","alt_species"
"1","Fis-25285","Acanthurus sohal","Acanthuridae","Sohal surgeonfish",2,"habitat_reef","FB","",""
"2","Fis-23659","Naso unicornis","Acanthuridae","Bluespine unicornfish",2,"habitat_reef","FB","",""
"3","Fis-29594","Acipenser transmontanus","Acipenseridae","White sturgeon",2,"habitat_coastal","FB","FB: ""Spends most of its time in the sea, usually close to shore (Ref. 27547). """,""
"4","Fis-22841","Albula vulpes","Albulidae","Bonefish",2,"habitat_lagoon","FB","",""
"5","Fis-23898","Alopias superciliosus","Alopiidae","Bigeye thresher",3,"hms","FB","",""
"6","Fis-23899","Alopias vulpinus","Alopiidae","Thresher",3,"hms","FB","",""
"7","Fis-29268","Ammodytes personatus","Ammodytidae","Pacific sandlance",2,"habitat_coastal","FB","FB: ""Marine; demersal; oceanodromous (Ref. 51243)""",""
"8","Fis-29624","Anarhichas denticulatus","Anarhichadidae","Northern wolffish",2,"habitat_deep","FB","FB: ""Inhabits offshore waters in midwater; adults also near bottom from 60-970 m, mainly 100-900 m (Ref. 4694).""",""
"9","Fis-29625","Anarhichas lupus","Anarhichadidae","Atlantic wolffish",2,"habitat_coastal","FB","",""
"10","Fis-22996","Anoplopoma fimbria","Anoplopomatidae","Sablefish",3,"deep","FB","FB: ""Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).""",""
"11","Fis-35415","Aplodactylus punctatus","Aplodactylidae",NA,2,"habitat_coastal","FB","FB: ""This species is most abundant littoral species on the coast of central Chile, found in close association with the brown kelp Lessonia trabeculata.""",""
"12","Fis-23914","Argentina silus","Argentinidae","Greater argentine",3,"pelagic","FB","",""
"13","Fis-29289","Argentina sphyraena","Argentinidae","Argentine",3,"pelagic","FB","FB: ""Feeds on bottom-living polychaetes, mollusks and crustaceans, also on pelagic invertebrates and fishes.""",""
"14","Fis-22846","Glossanodon semifasciatus","Argentinidae","Deep-sea smelt",3,"pelagic","FB","",""
"15","Fis-26346","Bathyraja eatonii","Arhynchobatidae","Eaton's skate",2,"habitat_benthic","FB","",""
"16","Fis-21523","Ariomma indica","Ariommatidae","Indian driftfish",3,"migratory","FB","FB: ""Appears to be pelagic at night and demersal by day and may migrate seasonally.""",""
"17","ITS-96056","Aristaeomorpha foliacea","Aristeidae","giant red shrimp",2,"habitat_deep","SLB","",""
"18","ITS-96062","Aristeus antennatus","Aristeidae","blue and red shrimp",2,"habitat_deep","SLB","",""
"19","ITS-96066","Aristeus varidens","Aristeidae","striped red shrimp",2,"habitat_deep","SLB","",""
"20","Fis-22847","Arripis georgianus","Arripidae","Ruff",2,"habitat_coastal","FB","FB: ""Usually found inshore in bays and estuaries over seagrass beds or near areas of seaweed (e.g. kelp), on rocky reefs, and along ocean beaches. Juveniles are found in inshore coastal waters, bays and inlets (Ref. 6390).""",""
"21","Fis-25431","Arripis trutta","Arripidae","Australian salmon",2,"habitat_coastal","FB","FB: ""Inhabit continental shelf waters including estuaries, bays and inlets (Ref. 6390). Found between depths of 30 m (Ref. 33616) and 39 m (Ref. 58489).""",""
"22","Fis-29684","Atherina boyeri","Atherinidae","Big-scale sand smelt",2,"habitat_coastal","FB","",""
"23","Fis-26885","Odontesthes regia","Atherinidae","Chilean silverside",2,"habitat_coastal","REF","Secondary ref: Fierro, P., Bertrani, C., Martinez, D., Valdovinos, C., Vargas-Chacoff, L. 2013. Ontogenetic and temporal changes in the diet of the Chilean silverside Odontesthes regia (Atherinidae) in Southern Chile. Cah. Biol. Mar., 55:323-332.",""
"24","Fis-22904","Menidia menidia","Atherinopsidae","Atlantic silverside",2,"habitat_coastal","FB","",""
"25","SLB-102813","Austromegabalanus psittacus","Balanidae","giant barnacle",1,"sedentary","SLB","",""
"26","Fis-22978","Amphichthys cryptocentrus","Batrachoididae","Bocon toadfish",1,"sedentary","FB","FB: ""Inhabits littoral (subtidal) waters; usually found on sandy or rock bottom; large fish may be found in waters less than 1 m of depth hiding in crevices or caves (Ref. 3273).""",""
"27","Fis-22975","Ablennes hians","Belonidae","Flat needlefish",2,"habitat_coastal","FB","",""
"28","Fis-22717","Belone belone","Belonidae","Garfish",3,"pelagic","FB","FB: ""Lives close to the surface and has a migratory pattern similar to the mackerel (Ref. 35388).""",""
"29","Fis-58684","Tylosurus crocodilus","Belonidae","Hound needlefish",2,"habitat_coastal","FB","FB: ""A pelagic species (Ref. 26340) found over lagoon and seaward reefs.""",""
"30","Fis-29731","Beryx decadactylus","Berycidae","Alfonsino",2,"habitat_deep","FB","",""
"31","Fis-29732","Beryx splendens","Berycidae","Splendid alfonsino",2,"habitat_deep","FB","FB: ""Adults inhabit the outer shelf (180 m) and slope to at least 1,300 m depth, probably moving further from the bottom at night; often found over seamounts (Ref. 9833) and underwater ridges (Ref. 33648).""",""
"32","Fis-29070","Centroberyx affinis","Berycidae","Redfish",2,"habitat_coastal","FB","",""
"33","Fis-21893","Bothus pantherinus","Bothidae","Leopard flounder",2,"habitat_benthic","FB","",""
"34","Fis-125192","Cottoperca gobio","Bovichtidae","Channel bull blenny",1,"territorial","REF","Secondary ref: Arkhipkin, A., Boucher, E., Howes, P.N. 2015. Spawning and early ontogenesis in channel bull blenny Cottoperca gobio (Notothenioidei, Perciformes) caught off the Falkland Islands and maintained in captivity. Polar Biology, 38:251-259.",""
"35","Fis-22852","Brama brama","Bramidae","Atlantic pomfret",3,"migratory","FB","FB: ""Seasonal migrant occurring in small schools, movements apparently temperature-related.""",""
"36","Fis-25026","Taractichthys steindachneri","Bramidae","Sickle pomfret",3,"hms","FB","FB: ""Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).""",""
"37","Fis-32814","Bregmaceros mcclellandi","Bregmacerotidae","Unicorn cod",3,"pelagic","FB","",""
"38","W-Msc-138878","Buccinum undatum","Buccinidae","waved whelk",1,"sedentary","SLB","",""
"39","Fis-26997","Callorhinchus callorynchus","Callorhinchidae","Plownose chimaera",2,"habitat_benthic","FB","",""
"40","Fis-31073","Callorhinchus milii","Callorhinchidae","Ghost shark",2,"habitat_benthic","FB","",""
"41","W-Bch-158056","Cancer borealis","Cancridae","Jonah crab",1,"sedentary","SLB","",""
"42","W-Bch-158057","Cancer irroratus","Cancridae","rock crab",1,"sedentary","SLB","",""
"43","W-Bch-107276","Cancer pagurus","Cancridae","ox crab",1,"sedentary","SLB","",""
"44","W-Bch-440382","Cancer productus","Cancridae","red rock crab",1,"sedentary","SLB","SLB: ""Buries itself in the substrate during periods of inactivity (Ref. 78491).""",""
"45","Fis-22743","Capros aper","Caproidae","Boarfish",2,"habitat_reef","FB","",""
"46","Fis-13508","Alectis alexandrinus","Carangidae","Alexandria pompano",2,"habitat_coastal","FB","",""
"47","Fis-23325","Alepes djedaba","Carangidae","Shrimp scad",2,"habitat_reef","FB","",""
"48","Fis-23387","Atule mate","Carangidae","Yellowtail scad",2,"habitat_reef","FB","FB: ""Adults inhabit mangroves and coastal bays in pelagic waters (Ref. 58302). They form schools to about 50 m in inshore waters (Ref. 9894), or singly (Ref. 48635).""",""
"49","Fis-23412","Carangoides bajad","Carangidae","Orangespotted trevally",2,"habitat_reef","FB","FB: ""Adults are common along coastal reef slopes or around large coral heads in lagoons (Ref. 48635).""",""
"50","Fis-23417","Carangoides fulvoguttatus","Carangidae","Yellowspotted trevally",2,"habitat_reef","FB","",""
"51","Fis-25117","Carangoides malabaricus","Carangidae","Malabar trevally",2,"habitat_reef","FB","",""
"52","Fis-23414","Caranx crysos","Carangidae","Blue runner",2,"habitat_coastal","FB","",""
"53","Fis-22744","Caranx hippos","Carangidae","Crevalle jack",2,"habitat_reef","FB","FB: ""Generally in neritic waters over the continental shelf (Ref. 5217), from the coastline, where it is common on shallow flats, to offshore waters (Ref. 57392).""",""
"54","Fis-23422","Caranx ignobilis","Carangidae","Giant trevally",2,"habitat_reef","FB","",""
"55","Fis-29762","Caranx melampygus","Carangidae","Bluefin trevally",2,"habitat_reef","FB","",""
"56","Fis-29764","Caranx rhonchus","Carangidae","False scad",2,"habitat_coastal","FB","",""
"57","Fis-23428","Caranx ruber","Carangidae","Bar jack",2,"habitat_reef","FB","",""
"58","Fis-29766","Caranx sexfasciatus","Carangidae","Bigeye trevally",2,"habitat_reef","FB","",""
"59","Fis-22861","Chloroscombrus chrysurus","Carangidae","Atlantic bumper",2,"habitat_coastal","FB","",""
"60","Fis-29810","Chloroscombrus orqueta","Carangidae","Pacific bumper",2,"habitat_coastal","FB","",""
"61","Fis-29908","Decapterus macrosoma","Carangidae","Shortfin scad",3,"pelagic","FB","FB: ""A predominately pelagic schooling species (Ref. 9283, 48635, 58302).""",""
"62","Fis-23471","Decapterus maruadsi","Carangidae","Japanese scad",3,"pelagic","FB","FB: ""In Guam, it is encountered in large numbers around fish aggregating devices, buoys anchored offshore to attract pelagic game fishes.""",""
"63","Fis-22872","Decapterus russelli","Carangidae","Indian scad",3,"pelagic","FB","",""
"64","Fis-47571","Elagatis bipinnulata","Carangidae","Rainbow runner",3,"pelagic","FB","",""
"65","Fis-25133","Gnathanodon speciosus","Carangidae","Golden trevally",2,"habitat_reef","FB","",""
"66","Fis-23174","Lichia amia","Carangidae","Leerfish",2,"habitat_coastal","FB","",""
"67","Fis-22901","Megalaspis cordyla","Carangidae","Torpedo scad",3,"pelagic","FB","FB: ""Adults are primarily oceanic, pelagic schooling species rarely seen on reefs (Ref. 48635, 90102).""",""
"68","Fis-23192","Naucrates ductor","Carangidae","Pilotfish",3,"pelagic","FB","FB: ""Oceanic species with a semi-obligate commensal relationship with sharks, rays, other bony fishes and turtles (Ref. 5217).""",""
"69","Fis-23714","Parastromateus niger","Carangidae","Black pomfret",2,"habitat_coastal","FB","",""
"70","Fis-22927","Parona signata","Carangidae","Parona leatherjacket",2,"habitat_coastal","FB","",""
"71","Fis-23749","Pseudocaranx dentex","Carangidae","White trevally",2,"habitat_coastal","FB","",""
"72","Fis-30612","Scomberoides commersonnianus","Carangidae","Talang queenfish",2,"habitat_reef","FB","",""
"73","Fis-23798","Scomberoides lysan","Carangidae","Doublespotted queenfish",2,"habitat_reef","FB","",""
"74","Fis-23800","Scomberoides tol","Carangidae","Needlescaled queenfish",2,"habitat_reef","FB","",""
"75","Fis-22954","Selar crumenophthalmus","Carangidae","Bigeye scad",3,"pelagic","FB","FB: ""Adults prefer clear oceanic waters around islands to neritic waters (Ref. 5217). Occasionally in turbid waters (Ref. 9283). Pelagic (Ref. 58302).""",""
"76","Fis-22955","Selaroides leptolepis","Carangidae","Yellowstripe scad",2,"habitat_coastal","FB","",""
"77","Fis-22956","Selene dorsalis","Carangidae","African moonfish",2,"habitat_coastal","FB","",""
"78","Fis-30649","Selene peruviana","Carangidae","Peruvian moonfish",2,"habitat_coastal","FB","",""
"79","Fis-22957","Selene setapinnis","Carangidae","Atlantic moonfish",2,"habitat_coastal","FB","",""
"80","Fis-23806","Seriola dumerili","Carangidae","Greater amberjack",2,"habitat_reef","FB","",""
"81","Fis-29523","Seriola lalandi","Carangidae","Yellowtail amberjack",2,"habitat_reef","FB","",""
"82","Fis-22208","Seriola rivoliana","Carangidae","Longfin yellowtail",3,"pelagic","REF","Secondary ref: Barreiros, J.P., Morato, T., Santos, R.S., de Borba, A.E. 2003. Interannual changes in the diet of the almaco jack Seriola rivoliana (Perciformes: Carangidae) from the Azores. Cybium, 27(1):37-40.",""
"83","Fis-23809","Seriolina nigrofasciata","Carangidae","Blackbanded trevally",2,"habitat_reef","FB","",""
"84","Fis-23862","Trachinotus blochii","Carangidae","Snubnose pompano",2,"habitat_reef","FB","",""
"85","Fis-22966","Trachinotus carolinus","Carangidae","Florida pompano",2,"habitat_coastal","FB","",""
"86","Fis-30731","Trachinotus mookalee","Carangidae","Indian pompano",2,"habitat_coastal","FB","",""
"87","Fis-31366","Trachurus capensis","Carangidae","Cape horse mackerel",3,"pelagic","FB","",""
"88","Fis-22968","Trachurus declivis","Carangidae","Greenback horse mackerel",3,"pelagic","FB","",""
"89","Fis-22969","Trachurus japonicus","Carangidae","Japanese jack mackerel",3,"pelagic","FB","",""
"90","Fis-22214","Trachurus lathami","Carangidae","Rough scad",3,"pelagic","FB","",""
"91","Fis-23870","Trachurus mediterraneus","Carangidae","Mediterranean horse mackerel",3,"pelagic","FB","",""
"92","Fis-29573","Trachurus murphyi","Carangidae","Chilean jack mackerel",3,"pelagic","FB","",""
"93","Fis-22970","Trachurus symmetricus","Carangidae","Pacific jack mackerel",3,"pelagic","FB","",""
"94","Fis-23873","Trachurus trachurus","Carangidae","Atlantic horse mackerel",3,"pelagic","FB","",""
"95","Fis-29574","Trachurus trecae","Carangidae","Cunene horse mackerel",3,"pelagic","FB","",""
"96","Fis-23050","Carcharhinus brachyurus","Carcharhinidae","Copper shark",3,"hms","FB","",""
"97","Fis-23054","Carcharhinus falciformis","Carcharhinidae","Silky shark",3,"hms","FB","",""
"98","Fis-23060","Carcharhinus limbatus","Carcharhinidae","Blacktip shark",3,"hms","FB","",""
"99","Fis-23061","Carcharhinus longimanus","Carcharhinidae","Oceanic whitetip shark",3,"hms","FB","",""
"100","Fis-23070","Carcharhinus sorrah","Carcharhinidae","Spot-tail shark",3,"hms","FB","",""
"101","Fis-23129","Galeocerdo cuvier","Carcharhinidae","Tiger shark",3,"hms","FB","FB: ""Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).""",""
"102","Fis-23222","Prionace glauca","Carcharhinidae","Blue shark",3,"hms","FB","",""
"103","W-Bch-107380","Carcinus aestuarii","Carcinidae","Mediterranean shore crab",1,"sedentary","SLB","",""
"104","W-Bch-107381","Carcinus maenas","Carcinidae","green crab",1,"sedentary","REF","Secondary ref: Waser, A.M., Dekker, R., Witte, J.I., McSweeney, N., Ens, B.J. and van der Meer, J., 2018. Quantifying Tidal Movements of the Shore Crab Carcinus maenas on to Complex Epibenthic Bivalve Habitats. Estuaries and coasts, 41(2), pp.507-520.",""
"105","W-Msc-138998","Cerastoderma edule","Cardiidae","common edible cockle",1,"sedentary","SLB","",""
"106","W-Msc-381980","Clinocardium nuttallii","Cardiidae","Nuttall cockle",1,"sedentary","SLB","",""
"107","Fis-25366","Spicara maena","Centracanthidae","Blotched picarel",2,"habitat_coastal","FB","",""
"108","Fis-29092","Centriscops humerosus","Centriscidae","Banded yellowfish",2,"habitat_benthic","FB","",""
"109","Fis-23160","Hyperoglyphe antarctica","Centrolophidae","Bluenose warehou",2,"habitat_reef","FB","",""
"110","Fis-24684","Hyperoglyphe bythites","Centrolophidae","Black driftfish",2,"habitat_coastal","IUCN","",""
"111","Fis-23224","Psenopsis anomala","Centrolophidae","Pacific rudderfish",2,"habitat_coastal","FAO","FAO: ""Epipelagic layer to 370 m.Adults inhabit bottom, but migrate upward at night.""",""
"112","Fis-28686","Seriolella brama","Centrolophidae","Common warehou",2,"habitat_coastal","FB","",""
"113","Fis-35417","Seriolella caerulea","Centrolophidae","White warehou",2,"habitat_coastal","FB","",""
"114","Fis-32806","Seriolella porosa","Centrolophidae","Choicy ruff",2,"habitat_coastal","FB","",""
"115","Fis-28687","Seriolella punctata","Centrolophidae","Silver warehou",3,"migratory","FB","FB: ""During spring-summer in New Zealand, adult and juvenile fish migrate to feed along the continental slope off the east and southeast coast of the South Island (Ref. 9072).""",""
"116","Fis-23075","Centrophorus granulosus","Centrophoridae","Gulper shark",3,"deep","FB","",""
"117","Fis-23076","Centrophorus squamosus","Centrophoridae","Leafscale gulper shark",3,"deep","FB","",""
"118","Fis-22857","Centropomus undecimalis","Centropomidae","Common snook",2,"habitat_coastal","FB","FB: ""Adults inhabit coastal waters, estuaries and lagoons, penetrating into freshwater; usually at depths less than 20 m (Ref. 3713).""",""
"119","Fis-22746","Cepola macrophthalma","Cepolidae","Red bandfish",1,"sedentary","FB","FB: ""Found on sand and mud bottom (Ref. 26999). Lives in vertical burrows but may be found swimming in midwater.""",""
"120","Fis-22748","Chanos chanos","Chanidae","Milkfish",2,"habitat_reef","FB","FB: ""They occur in small to large schools near the coasts or around islands where reefs are well developed.""",""
"121","Fis-29335","Champsocephalus gunnari","Channichthyidae","Mackerel icefish",2,"habitat_coastal","REF","Secondary ref: Kuhn, K.L, Gaffney, P.M. 2006. Preliminary assessment of population structure in the mackerel icefish (Champsocephalus gunnari). Polar Biology, 29:927-935.",""
"122","Fis-29336","Channichthys rhinoceratus","Channichthyidae","Unicorn icefish",2,"habitat_coastal","FB","",""
"123","Fis-46963","Cheilodactylus variegatus","Cheilodactylidae","Peruvian morwong",2,"habitat_coastal","REF","Secondary ref: Iannacone, J., et al. 2003. Comunidades ectoparasitarias branquiales de la pintadilla Cheilodactylus variegatus Valenciennes 1833 (Pisces: Cheilodactylidae). Parasitol Latinoam, 58:59067.",""
"124","Fis-27674","Nemadactylus macropterus","Cheilodactylidae","Tarakihi",2,"habitat_coastal","REF","Secondary ref: Wayte, S.E. 2013. Management implications of including a climate-induced recruitment shift in the stock assessment for jackass morwong (Nemadactylus macropterus) in south-eastern Australia. Fisheries Research, 142:47-55.",""
"125","W-Bch-440405","Erimacrus isenbeckii","Cheiragonidae","hair crab",2,"habitat_coastal","FB","",""
"126","Fis-29808","Chimaera monstrosa","Chimaeridae","Rabbit fish",3,"deep","FB","",""
"127","Fis-28784","Hydrolagus novaezealandiae","Chimaeridae","Dark ghost shark",3,"deep","FB","",""
"128","Fis-26069","Chirocentrus dorab","Chirocentridae","Dorab wolf-herring",2,"habitat_coastal","FB","FB: ""Occurs inshore, including brackish waters (Ref. 12743).""",""
"129","Fis-23436","Chirocentrus nudus","Chirocentridae","Whitefin wolf-herring",2,"habitat_coastal","FB","FB: ""An inshore pelagic species that feeds mainly on small fishes, but also crabs (Ref. 5213).""",""
"130","Fis-25577","Alosa fallax","Clupeidae","Twaite shad",3,"migratory","FB","FB: ""Amphihaline species (Ref. 51442), schooling and strongly migratory, but apparently not penetrating far up rivers (Ref. 188, 6683). Adults are usually found in open waters along the coast (Refs. 59043, 89486)""",""
"131","Fis-23334","Alosa pseudoharengus","Clupeidae","Alewife",2,"habitat_coastal","FB","FB: ""Movement of schooling adults apparently restricted to coastal areas proximal to natal estuaries (Ref. 4639).""",""
"132","Fis-23335","Alosa sapidissima","Clupeidae","American shad",3,"pelagic","FB","FB: ""Spends most of its life at sea, returning to freshwater streams to breed (Ref. 27547).""",""
"133","Fis-23340","Amblygaster sirm","Clupeidae","Spotted sardinella",2,"habitat_coastal","FB","",""
"134","Fis-23369","Anodontostoma chacunda","Clupeidae","Chacunda gizzard shad",2,"habitat_coastal","FB","",""
