"","SpeciesID","SciName","family","Fbname","m_index","movement_keyword","source","notes","alt_species"
"135","Fis-23399","Brevoortia aurea","Clupeidae","Brazilian menhaden",2,"habitat_coastal","REF","Secondary ref: Lajud, N.A., de Astarloa, J.M., González-Castro, M. 2016. Reproduction of Brevoortia aurea (Spix & Agassiz, 1829) (Actinopterygii: Clupeidae) in the Mar Chiquita Coastal Lagoon, Buenos Aires, Argentina. Neotropical Ichthyology, 14(1):e150064.",""
"136","Fis-29740","Brevoortia patronus","Clupeidae","Gulf menhaden",2,"habitat_coastal","FAO","",""
"137","Fis-23401","Brevoortia tyrannus","Clupeidae","Atlantic menhaden",3,"migratory","FAO","FAO: ""north/south migrations (spring and summer versus autumn) occur""",""
"138","Fis-23443","Clupanodon thrissa","Clupeidae","Chinese gizzard shad",2,"habitat_coastal","FB","",""
"139","Fis-29344","Clupea harengus","Clupeidae","Atlantic herring",3,"migratory","FB","FB: ""Herring schools move between spawning and wintering grounds in coastal areas and feeding grounds in open water by following migration patterns learned from earlier year classes (Ref. 88171).""",""
"140","Fis-153539","Clupea pallasii","Clupeidae","Pacific herring",2,"habitat_coastal","FB","FB: ""non-migratory""",""
"141","Fis-23448","Clupeonella cultriventris","Clupeidae","Black and Caspian Sea sprat",3,"migratory","FB","FB: ""Migratory between winter or autumn feeding and summer spawning grounds.""",""
"142","Fis-23495","Ethmalosa fimbriata","Clupeidae","Bonga shad",2,"habitat_coastal","FB","",""
"143","Fis-23496","Ethmidium maculatum","Clupeidae","Pacific menhaden",2,"habitat_coastal","FB","",""
"144","Fis-23545","Hilsa kelee","Clupeidae","Kelee shad",2,"habitat_coastal","FB","",""
"145","Fis-23575","Konosirus punctatus","Clupeidae","Dotted gizzard shad",2,"habitat_coastal","FB","",""
"146","Fis-23662","Nematalosa nasus","Clupeidae","Bloch's gizzard shad",2,"habitat_coastal","FB","",""
"147","Fis-23681","Opisthonema libertate","Clupeidae","Pacific thread herring",2,"habitat_coastal","FAO","",""
"148","Fis-23682","Opisthonema oglinum","Clupeidae","Atlantic thread herring",2,"habitat_coastal","FB","",""
"149","Fis-23765","Sardina pilchardus","Clupeidae","European pilchard",3,"pelagic","FAO","FAO: ""Breeds at 20 to 25 m, near the shore or as much as 100 km out to sea""",""
"150","Fis-30592","Sardinella aurita","Clupeidae","Round sardinella",2,"habitat_coastal","IUCN","IUCN: ""This pelagic species schools in subtropical coastal waters from inshore to the shelf edge.""",""
"151","Fis-23768","Sardinella brasiliensis","Clupeidae","Brazilian sardinella",2,"habitat_coastal","FB","",""
"152","Fis-23771","Sardinella gibbosa","Clupeidae","Goldstripe sardinella",2,"habitat_coastal","IUCN","IUCN: ""Sardinella gibbosa is a marine, reef-associated species that occurs in tropical waters between depths of 10 to 70 m (Pauly et al. 1996, FAO-FIGIS 2005).  This species forms schools in coastal waters; it is found in inshore waters of the continental shelf (Sousa and Dias 1981, Fischer et al. 1990).""",""
"153","Fis-30594","Sardinella lemuru","Clupeidae","Bali sardinella",2,"habitat_coastal","FB","",""
"154","Fis-30595","Sardinella longiceps","Clupeidae","Indian oil sardine",3,"migratory","FB","FB: ""Coastal pelagic (Ref. 68964). Forms schools in coastal waters and strongly migratory.""",""
"155","Fis-23774","Sardinella maderensis","Clupeidae","Madeiran sardinella",3,"migratory","IUCN","IUCN: ""Juveniles and adults show clear north-south migrations in the Gabon-Congo-Angola sector of their range and also in the Sierra Leone-Mauritania sector, each area having nurseries.""",""
"156","Fis-23779","Sardinella zunasi","Clupeidae","Japanese sardinella",2,"habitat_coastal","IUCN","IUCN: ""Sardinella zunasi is a coastal, marine, pelagic species that is found near shore, including semi-enclosed sea areas over sandy and mud bottom habitats (Yamada et al. 1995).""",""
"157","Fis-54081","Sardinops sagax","Clupeidae","South American pilchard",3,"migratory","FB","FB: ""In the California region, pilchards make northward migrations early in summer and travel back south again in autumn. With each year of life, the migration becomes farther (Ref. 6885).""",""
"158","Fis-23831","Sprattus fuegensis","Clupeidae","Falkland sprat",2,"habitat_coastal","FB","",""
"159","Fis-23834","Sprattus sprattus","Clupeidae","European sprat",3,"migratory","FAO","FAO: ""Some spawing almost throughout the year, near to the coast or up to 100 km out to sea""",""
"160","Fis-23854","Tenualosa ilisha","Clupeidae","Hilsa shad",3,"migratory","FB","",""
"161","Fis-23858","Tenualosa toli","Clupeidae","Toli shad",2,"habitat_coastal","FB","",""
"162","Fis-22866","Conger conger","Congridae","European conger",2,"habitat_benthic","FB","",""
"163","Fis-22848","Conger myriaster","Congridae","Whitespotted conger",1,"habitat_benthic","FB","",""
"164","Fis-22867","Conger oceanicus","Congridae","American conger",1,"territorial","IUCN","IUCN: ""is usually associated with structured habitats such as piers, wrecks, jetties, reefs, or burrows shared with tilefish, Lopholatilus chamaeleonticeps (Able and Fahay 1998, Collette and Klein-MacPhee 2002, Correia et al. 2004).""",""
"165","Fis-22215","Coryphaena hippurus","Coryphaenidae","Common dolphinfish",3,"hms","FB","",""
"166","Fis-155578","Scorpaenichthys marmoratus","Cottidae","Cabezon",2,"habitat_benthic","FB","",""
"167","ITS-97118","Crangon crangon","Crangonidae","common shrimp",2,"habitat_benthic","SLB","",""
"168","Fis-29361","Cyclopterus lumpus","Cyclopteridae","Lumpfish",3,"migratory","FB","FB: ""They migrate considerable distances in an annual cycle between deeper waters in winter and shallower waters in summer (Ref. 26141).""",""
"169","Fis-34092","Cyttus traversi","Cyttidae","King dory",2,"habitat_deep","FB","",""
"170","Fis-23467","Dactylopterus volitans","Dactylopteridae","Flying gurnard",2,"habitat_coastal","IUCN","IUCN: ""It is a pelagic spawner.""",""
"171","Fis-23101","Dalatias licha","Dalatiidae","Kitefin shark",3,"deep","FB","",""
"172","Fis-29906","Dasyatis americana","Dasyatidae","Southern stingray",2,"habitat_benthic","FB","",""
"173","Fis-23995","Dasyatis pastinaca","Dasyatidae","Common stingray",2,"habitat_benthic","FB","",""
"174","Fis-47488","Himantura gerrardi","Dasyatidae","Sharpnose stingray",2,"habitat_benthic","FB","",""
"175","Fis-28096","Tragulichthys jaculiferus","Diodontidae","Longspine burrfish",2,"habitat_benthic","FB","",""
"176","Fis-29366","Drepane africana","Drepaneidae","African sicklefish",2,"habitat_coastal","FB","",""
"177","Fis-23112","Drepane punctata","Drepaneidae","Spotted sicklefish",2,"habitat_coastal","FB","",""
"178","Fis-29924","Dussumieria acuta","Dussumieriidae","Rainbow sardine",2,"habitat_coastal","FB","",""
"179","Fis-29925","Dussumieria elopsoides","Dussumieriidae","Slender rainbow sardine",2,"habitat_coastal","FB","",""
"180","Fis-30013","Etrumeus whiteheadi","Dussumieriidae","Whitehead's round herring",2,"habitat_coastal","FB","",""
"181","W-Msc-140600","Eledone cirrhosa","Eledonidae","horned octopus",2,"habitat_benthic","SLB","",""
"182","Fis-23115","Eleginops maclovinus","Eleginopsidae","Patagonian blennie",2,"habitat_coastal","REF","Secondary ref: Brickle, P., Laptikhovsky, V., Arkipkin. 2005. Reproductive strategy of a primitive temperate notothenioid Eleginops maclovinus. Journal of Fish Biology, 66(4):1044-1059.",""
"183","Fis-31165","Elops lacerta","Elopidae","West African ladyfish",2,"habitat_coastal","FB","FB: ""The reproduction takes place in the sea (Ref. 81265).""",""
"184","Fis-29369","Elops saurus","Elopidae","Ladyfish",2,"habitat_coastal","FB","FB: ""Spawn in the open sea (Ref. 5217).""",""
"185","Fis-59418","Emmelichthys nitidus","Emmelichthyidae","Cape bonnetmouth",3,"pelagic","REF","Secondary ref: Welsford, D.C., Lyle, J.M. 2003. Redbait (Emmelichthys nitidus): a synopsis of fishery and biological data. Tech Rep Ser No. 20. Tasmanian Aquaculture & Fisheries Institute, University of Tasmania, Hobart. ",""
"186","Fis-59430","Plagiogeneion rubiginosum","Emmelichthyidae","Rubyfish",3,"deep","IUCN","IUCN: ""Plagiogeneion rubiginosum inhabits deep waters along the edges of continental shelves and seamounts (Horn et al. 2012, O’Driscoll et al. 2012)...Based on radiocarbon analyses and otolith interpretations, it has a maximum longevity of about 100 years (Horn et al. 2012, Trnski 2015).""",""
"187","Fis-23352","Anchoa nasus","Engraulidae","Longnose anchovy",2,"habitat_coastal","FB","",""
"188","Fis-23088","Cetengraulis edentulus","Engraulidae","Atlantic anchoveta",2,"habitat_coastal","FB","",""
"189","Fis-23089","Cetengraulis mysticetus","Engraulidae","Pacific anchoveta",2,"habitat_coastal","FB","FB: ""Apparently not making long migrations along sandy or rocky areas.""",""
"190","Fis-29371","Encrasicholina punctifer","Engraulidae","Buccaneer anchovy",3,"pelagic","FB","FB: ""A schooling species found inshore and in oceanic waters, hundreds of miles from land.""",""
"191","Fis-29945","Engraulis anchoita","Engraulidae","Argentine anchovy",3,"migratory","FB","FB: ""Exhibits north-south and near shore-offshore migrations.""",""
"192","Fis-22756","Engraulis encrasicolus","Engraulidae","European anchovy",3,"migratory","FB","FB: ""Tends to move further north and into surface waters in summer, retreating and descending in winter. """,""
"193","Fis-29947","Engraulis japonicus","Engraulidae","Japanese anchovy",3,"pelagic","FB","FB: ""Occurs in large schools near the surface, mainly in coastal waters but as far out as over 1,000 km from the shore.""",""
