"","SciName","PLD","database","Family","part_of_stock_list"
"25","Gadus morhua",130,"Fish and Inverts (Ramesh)","Gadidae",TRUE
"26","Gadus morhua",110.5,"Fish and Inverts (Ramesh)","Gadidae",TRUE
"27","Trachurus symmetricus",1.5,"Fish and Inverts (Ramesh)","Carangidae",TRUE
"28","Auxis vulgaris",16,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"29","Amblyglyphidodon curacao",13,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"30","Engraulis mordax",35,"Fish and Inverts (Ramesh)","Engraulidae",TRUE
"31","Scophthalmus maximus",42,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"32","Scophthalmus maximus",46,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"33","Scophthalmus maximus",44.42,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"34","Scophthalmus maximus",44.29,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"35","Scophthalmus maximus",44.17,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"36","Scophthalmus maximus",44,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"37","Scophthalmus maximus",43.71,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"38","Scophthalmus maximus",48,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"39","Scophthalmus maximus",44,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"40","Scophthalmus maximus",46,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"41","Scophthalmus maximus",48.5,"Fish and Inverts (Ramesh)","Scophthalmidae",TRUE
"42","Coregonus rondeletii",19,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"43","Caranx symmetricus",1.5,"Fish and Inverts (Ramesh)","Carangidae",FALSE
"44","Stolephorus zollingeri",47,"Fish and Inverts (Ramesh)","Engraulidae",FALSE
"45","Archosargus rhomboidalis",21,"Fish and Inverts (Ramesh)","Sparidae",FALSE
"46","Morone saxatilis",33,"Fish and Inverts (Ramesh)","Moronidae",TRUE
"47","Salmo labradoricus",40,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"48","Centropomus mullus",50.67,"Fish and Inverts (Ramesh)","Centropomidae",FALSE
"49","Centropomus mullus",48.29,"Fish and Inverts (Ramesh)","Centropomidae",FALSE
"50","Centropomus mullus",48.57,"Fish and Inverts (Ramesh)","Centropomidae",FALSE
"51","Sparidentex hasta",1.66,"Fish and Inverts (Ramesh)","Sparidae",TRUE
"52","Harengula jaguana",0,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"53","Coregonus sapidissimus",40,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"54","Dicentrarchus lupus",50.67,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"55","Dicentrarchus lupus",48.29,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"56","Dicentrarchus lupus",48.57,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"57","Scolopsis taeniopterus",19,"Fish and Inverts (Ramesh)","Nemipteridae",FALSE
"58","Opisthonema oglinum",0,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"59","Merluccius productus",88,"Fish and Inverts (Ramesh)","Merlucciidae",TRUE
"60","Morone labrax",50.67,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"61","Morone labrax",48.29,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"62","Morone labrax",48.57,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"63","Alosa pseudoharengus",2.1,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"64","Alosa pseudoharengus",3.39,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"65","Alosa pseudoharengus",3.7,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"66","Alosa pseudoharengus",4,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"67","Alosa pseudoharengus",4.2,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"68","Alosa pseudoharengus",6,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"69","Alosa pseudoharengus",15,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"70","Pleuronectes platessa",100,"Fish and Inverts (Ramesh)","Pleuronectidae",TRUE
"71","Engraulis japonicus",47,"Fish and Inverts (Ramesh)","Engraulidae",TRUE
"72","Salmo tullibee",26,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"73","Solea solea",45,"Fish and Inverts (Ramesh)","Soleidae",TRUE
"74","Scomber rochei",16,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"75","Dicentrarchus labrax",50.67,"Fish and Inverts (Ramesh)","Moronidae",TRUE
"76","Dicentrarchus labrax",48.29,"Fish and Inverts (Ramesh)","Moronidae",TRUE
"77","Dicentrarchus labrax",48.57,"Fish and Inverts (Ramesh)","Moronidae",TRUE
"78","Stolephorus tapirulus",74,"Fish and Inverts (Ramesh)","Engraulidae",FALSE
"79","Alosa musica",46.5,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"80","Alosa musica",46,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"81","Alosa musica",45.75,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"82","Alosa musica",47.7,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
