"","SciName","PLD","database","Family","part_of_stock_list"
"308","Mustelus NA",0,"Fish and Inverts (Ramesh)",NA,FALSE
"309","Sphyrna NA",0,"Fish and Inverts (Ramesh)",NA,FALSE
"310","Carcharhinus NA",0,"Fish and Inverts (Ramesh)",NA,FALSE
"311","Acanthaster planci",21,"Fish and Inverts (Ramesh)","Acanthasteridae",FALSE
"312","Luidia foliolata",100.5,"Fish and Inverts (Ramesh)","Luidiidae",FALSE
"313","Patiriella calcar",10,"Fish and Inverts (Ramesh)","Asterinidae",FALSE
"314","Patiriella exigua",0,"Fish and Inverts (Ramesh)","Asterinidae",FALSE
"315","Pisaster ochraceus",152,"Fish and Inverts (Ramesh)","Asteriidae",FALSE
"316","Pycnopodia helianthoides",118,"Fish and Inverts (Ramesh)","Asteriidae",FALSE
"317","Allocentrotus fragilis",196.5,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"318","Brisaster latifrons",117,"Fish and Inverts (Ramesh)","Schizasteridae",FALSE
"319","Dendraster excentricus",115,"Fish and Inverts (Ramesh)","Dendrasteridae",FALSE
"320","Echinometra lucunter",14,"Fish and Inverts (Ramesh)","Echinometridae",FALSE
"321","Heliocidaris erythrogramma",3.5,"Fish and Inverts (Ramesh)","Echinometridae",FALSE
"322","Heliocidaris tuberculata",21,"Fish and Inverts (Ramesh)","Echinometridae",FALSE
"323","Paracentrotus lividus",30,"Fish and Inverts (Ramesh)","Parechinidae",FALSE
"324","Slrongylocentrotus droebachiensis",101.5,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"325","Slrongylocentrotus franciscanus",96.5,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"326","Slrongylocentrotus pallidus",63,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"327","Strongylocentrotus droebachiens",88,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"328","Strongylocentrotus franciscanus",100,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"329","Strongylocentrotus purpuratus",60,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"330","Strongylocentrotus purpuratus",88,"Fish and Inverts (Ramesh)","Strongylocentrotidae",FALSE
"331","Cucumaria miniata",12,"Fish and Inverts (Ramesh)","Cucumariidae",FALSE
"332","Cucumaria pseudocurata",0,"Fish and Inverts (Ramesh)","Cucumariidae",FALSE
"333","Holothuria nobilis",28,"Fish and Inverts (Ramesh)","Holothuriidae",FALSE
"334","Parastichopus californicus",71,"Fish and Inverts (Ramesh)","Stichopodidae",FALSE
"335","Ophiopholis aculeata",149.5,"Fish and Inverts (Ramesh)","Ophiopholidae",FALSE
"336","Crassostrea virginica",17.5,"Fish and Inverts (Ramesh)","Ostreidae",TRUE
"337","Mytilus chilensis",45,"Fish and Inverts (Ramesh)","Mytilidae",FALSE
"338","Ostrea edulis",10,"Fish and Inverts (Ramesh)","Ostreidae",FALSE
"339","Panopea abrupta",32,"Fish and Inverts (Ramesh)","Hiatellidae",TRUE
"340","Panopea abrupta",32,"Fish and Inverts (Ramesh)","Hiatellidae",TRUE
"341","Pecten jacobaeus",24.5,"Fish and Inverts (Ramesh)","Pectinidae",TRUE
"342","Pecten maximus",24.5,"Fish and Inverts (Ramesh)","Pectinidae",TRUE
"343","Tridacna derasa",8.5,"Fish and Inverts (Ramesh)","Cardiidae",FALSE
"344","Tridacna gigas",8.5,"Fish and Inverts (Ramesh)","Cardiidae",FALSE
"345","Tridacna maxima",8.5,"Fish and Inverts (Ramesh)","Cardiidae",FALSE
"346","Tridacna maxima",8.5,"Fish and Inverts (Ramesh)","Cardiidae",FALSE
"347","Adalaria proxima",1.5,"Fish and Inverts (Ramesh)","Onchidorididae",FALSE
"348","Aplysia californica",35,"Fish and Inverts (Ramesh)","Aplysiidae",FALSE
"349","Bedeva hanleyi",0,"Fish and Inverts (Ramesh)","Muricidae",FALSE
"350","Buccinum undatum",0,"Fish and Inverts (Ramesh)","Buccinidae",TRUE
"351","Cellana ornata",7,"Fish and Inverts (Ramesh)","Nacellidae",FALSE
"352","Cellana radians",7,"Fish and Inverts (Ramesh)","Nacellidae",FALSE
"353","Cominella lineolata",0,"Fish and Inverts (Ramesh)","Cominellidae",FALSE
"354","Cuthona adyarensis",13.83,"Fish and Inverts (Ramesh)","Cuthonidae",FALSE
"355","Dolabella aunculana",131.06,"Fish and Inverts (Ramesh)","Aplysiidae",FALSE
"356","Goniodoris nodosa",80.5,"Fish and Inverts (Ramesh)","Goniodorididae",FALSE
"357","Haliotis cracherodii",7.5,"Fish and Inverts (Ramesh)","Haliotidae",FALSE
"358","Haliotis midae",6,"Fish and Inverts (Ramesh)","Haliotidae",FALSE
"359","Littorina littorea",35,"Fish and Inverts (Ramesh)","Littorinidae",FALSE
"360","Littorina saxatilis",0,"Fish and Inverts (Ramesh)","Littorinidae",FALSE
"361","Morula marginalba",31.5,"Fish and Inverts (Ramesh)","Muricidae",FALSE
"362","Salmacis bicolor",23,"Inverts (Marshall)","Temnopleuridae",FALSE
"363","Macrophiothrix lorioli",23,"Inverts (Marshall)","Ophiotricidae",FALSE
"364","Macrophiothrix belli",3,"Inverts (Marshall)","Ophiotricidae",FALSE
"365","Macrophiothrix longipeda",14,"Inverts (Marshall)","Ophiotrichidae",FALSE
"366","Macrophiothrix rhabdota",6.88,"Inverts (Marshall)","Ophiotricidae",FALSE
"367","Macrophiothrix nereidina",2.95,"Inverts (Marshall)","Ophiotrichidae",FALSE
"368","Macrophiothrix koehleri",32,"Inverts (Marshall)","Ophiotrichidae",FALSE
"369","Macrophiothrix caenosa",5,"Inverts (Marshall)","Ophiotricidae",FALSE
"370","Asthenosoma ijimai",21,"Inverts (Marshall)","Echinothuriidae",FALSE
"371","Crepidula plana",13,"Inverts (Marshall)","Calyptraeidae",FALSE
"372","Leitoscoloplos fragilis",4,"Inverts (Marshall)","Orbiniidae",FALSE
"373","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"374","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"375","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"376","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"377","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"378","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"379","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"380","Echinaster echinophorus",6,"Inverts (Marshall)","Echinasteridae",FALSE
"381","Coscinasterias calamaria",27,"Inverts (Marshall)","Asteriidae",FALSE
"382","Stichaster australis",38,"Inverts (Marshall)","Asteriidae",FALSE
"383","Strongylocentrotus purpuratus",51,"Inverts (Marshall)","Strongylocentrotidae",FALSE
"384","Melibe leonina",38,"Inverts (Marshall)","Tethydidae",FALSE
"385","Mediaster aequalis",33,"Inverts (Marshall)","Goniasteridae",FALSE
"386","Pseudopolydora kempi",2,"Inverts (Marshall)","Spionidae",FALSE
"387","Marenzelleria viridis",12,"Inverts (Marshall)","Spionidae",FALSE
"388","Sabellastarte spectabilis",6.67,"Inverts (Marshall)","Sabellidae",FALSE
"389","Cryptasterina pentagona",6,"Inverts (Marshall)","Asterinidae",FALSE
"390","Cryptasterina pentagona",6,"Inverts (Marshall)","Asterinidae",FALSE
"391","Aplysia californica",35,"Inverts (Marshall)","Aplysiidae",FALSE
"392","Hydroides elegans",4.5,"Inverts (Marshall)","Serpulidae",FALSE
"393","Rostanga pulchra",35,"Inverts (Marshall)","Rostangidae",FALSE
"394","Ophiarachnella gorgonia",2.5,"Inverts (Marshall)","Ophiodermatidae",FALSE
"395","Odostomia columbiana",70,"Inverts (Marshall)","Odostomiidae",FALSE
"396","Crepipatella lingulata",38,"Inverts (Marshall)","Calyptraeidae",FALSE
"397","Crepidula incurva",17,"Inverts (Marshall)","Calyptraeidae",FALSE
"398","Crepidula lessoni",17,"Inverts (Marshall)","Calyptraeidae",FALSE
"399","Crepidula onyx",23,"Inverts (Marshall)","Calyptraeidae",FALSE
"400","Crepidula marginalis",19.5,"Inverts (Marshall)","Calyptraeidae",FALSE
"401","Crucibulum",22,"Inverts (Marshall)","Calyptraeidae",FALSE
"402","Amphibalanus amphitrite",8,"Inverts (Marshall)","Balanidae",FALSE
"403","Dipolydora giardi",25,"Inverts (Marshall)","Spionidae",FALSE
"404","Scolelepis fulginosa",34,"Inverts (Marshall)","Spionidae",FALSE
"405","Myxicola infundibulum",6.5,"Inverts (Marshall)","Sabellidae",FALSE
"406","Evechinus chloroticus",31.3,"Inverts (Marshall)","Echinometridae",FALSE
"407","Encope michelini",14,"Inverts (Marshall)","Mellitidae",FALSE
"408","Encope michelini",14,"Inverts (Marshall)","Mellitidae",FALSE
"409","Austromegabalanus nigrescens",18,"Inverts (Marshall)","Balanidae",FALSE
"410","Heliocidaris tuberculata",30,"Inverts (Marshall)","Echinometridae",FALSE
"411","Clypeaster subdepressus",16,"Inverts (Marshall)","Clypeasteridae",FALSE
"412","Clypeaster rosaceus",7,"Inverts (Marshall)","Clypeasteridae",FALSE
"413","Echinometra lucunter",23,"Inverts (Marshall)","Echinometridae",FALSE
"414","Echinometra vanbrunti",18,"Inverts (Marshall)","Echinometridae",FALSE
"415","Tridacna squamosa",11,"Inverts (Marshall)","Cardiidae",FALSE
"416","Acteocina canaliculata",6.5,"Inverts (Marshall)","Cylichnidae",FALSE
"417","Asterias rubens",52.5,"Inverts (Marshall)","Asteriidae",FALSE
"418","Crossaster papposus",19,"Inverts (Marshall)","Solasteridae",FALSE
"419","Arbacia lixula",26,"Inverts (Marshall)","Arbaciidae",FALSE
"420","Haminoea vesicula",32,"Inverts (Marshall)","Atyidae",FALSE
"421","Pycnopodia helianthoides",65,"Inverts (Marshall)","Asteriidae",FALSE
"422","Scottolana canadensis",5,"Inverts (Marshall)","Canuellidae",FALSE
"423","Strongylocentrotus droebachiensis",36.5,"Inverts (Marshall)","Strongylocentrotidae",FALSE
"424","Brisaster latifrons",35,"Inverts (Marshall)","Schizasteridae",FALSE
"425","Echinarachnius parma",32,"Inverts (Marshall)","Echinarachniidae",FALSE
"426","Corambe steinbergae",34,"Inverts (Marshall)","Corambidae",FALSE
"427","Corambe obscura",13,"Inverts (Marshall)","Corambidae",FALSE
"428","Phidiana lynceus",7,"Inverts (Marshall)","Facelinidae",FALSE
"429","Tritonia hombergii",43,"Inverts (Marshall)","Tritoniidae",FALSE
"430","Acanthaster planci",38,"Inverts (Marshall)","Acanthasteridae",FALSE
"431","Encope michelini",7,"Inverts (Marshall)","Mellitidae",FALSE
"432","Encope michelini",7,"Inverts (Marshall)","Mellitidae",FALSE
"433","Astropecten aranciacus",80,"Inverts (Marshall)","Astropectinidae",FALSE
"434","Aquilonastra burtoni",5,"Inverts (Marshall)","Asterinidae",FALSE
"435","Arachnoides placenta",10,"Inverts (Marshall)","Clypeasteridae",FALSE
"436","Aquilonastra batheri",10,"Inverts (Marshall)","Asterinidae",FALSE
"437","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"438","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"439","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"440","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"441","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"442","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"443","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"444","Echinaster echinophorus",10,"Inverts (Marshall)","Echinasteridae",FALSE
"445","Ameritella mitchelli",6.5,"Inverts (Marshall)","Tellinidae",FALSE
"446","Conus canonicus",21,"Inverts (Marshall)","Conidae",FALSE
"447","Conus moreleti",28,"Inverts (Marshall)","Conidae",FALSE
"448","Conus geographus",27,"Inverts (Marshall)","Conidae",FALSE
"449","Conus imperialis",22,"Inverts (Marshall)","Conidae",FALSE
"450","Conus varius",27,"Inverts (Marshall)","Conidae",FALSE
"451","Conus aristophanes",25,"Inverts (Marshall)","Conidae",FALSE
"452","Conus eburneus",28,"Inverts (Marshall)","Conidae",FALSE
"453","Conus bandanus",15,"Inverts (Marshall)","Conidae",FALSE
"454","Conus omaria",12,"Inverts (Marshall)","Conidae",FALSE
"455","Conus chaldaeus",25,"Inverts (Marshall)","Conidae",FALSE
"456","Conus araneosus",1.5,"Inverts (Marshall)","Conidae",FALSE
"457","Conus suratensis",23,"Inverts (Marshall)","Conidae",FALSE
"458","Conus distans",28,"Inverts (Marshall)","Conidae",FALSE
"459","Conus planorbis",22,"Inverts (Marshall)","Conidae",FALSE
"460","Conus capitaneus",28.5,"Inverts (Marshall)","Conidae",FALSE
"461","Conus tessulatus",19,"Inverts (Marshall)","Conidae",FALSE
"462","Conus litteratus",23,"Inverts (Marshall)","Conidae",FALSE
"463","Conus miles",21,"Inverts (Marshall)","Conidae",FALSE
"464","Conus striatellus",24,"Inverts (Marshall)","Conidae",FALSE
"465","Conus striolatus",21,"Inverts (Marshall)","Conidae",FALSE
"466","Conus pennaceus",17,"Inverts (Marshall)","Conidae",FALSE
"467","Conus stercusmuscarum",20,"Inverts (Marshall)","Conidae",FALSE
"468","Conus coffeae",21,"Inverts (Marshall)","Conidae",FALSE
"469","Conus frigidus",22,"Inverts (Marshall)","Conidae",FALSE
"470","Astropecten gisselbrecht",3.38,"Inverts (Marshall)","Astropectentida",FALSE
"471","Ctenopleura fisheri",15,"Inverts (Marshall)","Astropectinidae",FALSE
"472","Aquilonastra coronata",30,"Inverts (Marshall)","Asterinidae",FALSE
"473","Aquilonastra minor",10,"Inverts (Marshall)","Asterinidae",FALSE
"474","Alderia willowi",1.5,"Inverts (Marshall)","Limapontiidae",FALSE
"475","Alderia willowi",1.5,"Inverts (Marshall)","Limapontiidae",FALSE
"476","Alderia willowi",32,"Inverts (Marshall)","Limapontiidae",FALSE
"477","Alderia willowi",32,"Inverts (Marshall)","Limapontiidae",FALSE
"478","Alderia modesta",30.5,"Inverts (Marshall)","Limapontiidae",FALSE
"479","Elysia marcusi",5.5,"Inverts (Marshall)","Plakobranchidae",FALSE
"480","Ficopomatus miamiensis",4,"Inverts (Marshall)","Serpulidae",FALSE
"481","Clione limacina",17.5,"Inverts (Marshall)","Clionidae",FALSE
"482","Branchiomma luctuosum",5,"Inverts (Marshall)","Sabellidae",FALSE
"483","Echinus esculentus",42,"Inverts (Marshall)","Echinidae",FALSE
"484","Galeolaria caespitosa",12,"Inverts (Marshall)","Serpulidae",FALSE
"485","Conus consors",7,"Inverts (Marshall)","Conidae",FALSE
"486","Lytechinus variegatus",37,"Inverts (Marshall)","Toxopneustidae",FALSE
"487","Pteraster tesselatus",11,"Inverts (Marshall)","Pterasteridae",FALSE
"488","Psolidium bullatum",8,"Inverts (Marshall)","Psolidae",FALSE
"489","Psolus chitonoides",28,"Inverts (Marshall)","Psolidae",FALSE
"490","Doris montereyensis",0.5,"Inverts (Marshall)","Dorididae",FALSE
"491","Eupolymnia heterobranchia",7,"Inverts (Marshall)","Terebellidae",FALSE
"492","Thelepus crispus",2,"Inverts (Marshall)","Terebellidae",FALSE
"493","Eucidaris tribuloides",25,"Inverts (Marshall)","Cidaridae",FALSE
"494","Actinopyga serratidens",28,"Inverts (Marshall)","Holothuriidae",FALSE
"495","Actinopyga echinites",18,"Inverts (Marshall)","Holothuriidae",FALSE
"496","Amphiura chiajei",7,"Inverts (Marshall)","Amphiuridae",FALSE
"497","Apostichopus japonicus",14,"Inverts (Marshall)","Stichopodidae",FALSE
"498","Arbacia punctulata",24,"Inverts (Marshall)","Curculionoidea",FALSE
"499","Aslia lefevrei",49,"Inverts (Marshall)","Cucumariidae",FALSE
"500","Asterias forbesi",25,"Inverts (Marshall)","Asteriidae",FALSE
"501","Asteropsis carinifera",30,"Inverts (Marshall)","Asteropseidae",FALSE
"502","Astriclypeus mannii",25,"Inverts (Marshall)","Astriclypeidae",FALSE
"503","Astropecten velitaris",5.5,"Inverts (Marshall)","Astropectinidae",FALSE
"504","Astropecten polyacanthus",3.5,"Inverts (Marshall)","Astropectinidae",FALSE
"505","Certonardoa semiregularis",21,"Inverts (Marshall)","Ophidiasteridae",FALSE
"506","Cryptasterina pentagona",10,"Inverts (Marshall)","Asterinidae",FALSE
"507","Cryptasterina pentagona",10,"Inverts (Marshall)","Asterinidae",FALSE
"508","Cucumaria piperata",8.5,"Inverts (Marshall)","Cucumariidae",FALSE
"509","Cucumaria frondosa",46,"Inverts (Marshall)","Cucumariidae",FALSE
"510","Diadema setosum",45,"Inverts (Marshall)","Diadematidae",FALSE
"511","Echinaster purpureus",4,"Inverts (Marshall)","Echinasteridae",FALSE
"512","Echinocardium cordatum",27,"Inverts (Marshall)","Loveniidae",FALSE
"513","Eucidaris metularia",30,"Inverts (Marshall)","Cidaridae",FALSE
"514","Eucidaris thouarsii",30,"Inverts (Marshall)","Cidaridae",FALSE
"515","Eupentacta fraudatrix",6.5,"Inverts (Marshall)","Sclerodactylida",FALSE
"516","Eupentacta quinquesemita",7,"Inverts (Marshall)","Sclerodactylidae",FALSE
"517","Fromia ghardaqana",24,"Inverts (Marshall)","Ophidiasteridae",FALSE
"518","Henricia sanguinolenta",42,"Inverts (Marshall)","Echinasteridae",FALSE
"519","Henricia lisa",45,"Inverts (Marshall)","Echinasteridae",FALSE
"520","Heterocentrotus mamillatus",8,"Inverts (Marshall)","Echinometridae",FALSE
"521","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"522","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"523","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"524","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"525","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"526","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"527","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"528","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"529","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"530","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"531","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"532","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"533","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"534","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"535","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"536","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"537","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"538","Holothuria",28,"Inverts (Marshall)","Holothuriidae",FALSE
"539","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"540","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"541","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"542","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"543","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"544","Holothuria",14,"Inverts (Marshall)","Holothuriidae",FALSE
"545","Holothuria",15,"Inverts (Marshall)","Holothuriidae",FALSE
"546","Holothuria",15,"Inverts (Marshall)","Holothuriidae",FALSE
"547","Holothuria",15,"Inverts (Marshall)","Holothuriidae",FALSE
"548","Holothuria",15,"Inverts (Marshall)","Holothuriidae",FALSE
"549","Holothuria",15,"Inverts (Marshall)","Holothuriidae",FALSE
"550","Holothuria",15,"Inverts (Marshall)","Holothuriidae",FALSE
"551","Holothuria",12,"Inverts (Marshall)","Holothuriidae",FALSE
"552","Holothuria",12,"Inverts (Marshall)","Holothuriidae",FALSE
"553","Holothuria",12,"Inverts (Marshall)","Holothuriidae",FALSE
"554","Holothuria",12,"Inverts (Marshall)","Holothuriidae",FALSE
"555","Holothuria",12,"Inverts (Marshall)","Holothuriidae",FALSE
"556","Holothuria",12,"Inverts (Marshall)","Holothuriidae",FALSE
"557","Iconaster longimanus",10,"Inverts (Marshall)","Goniasteridae",FALSE
"558","Jacksonaster depressum",14,"Inverts (Marshall)","Laganidae",FALSE
"559","Labidoplax buskii",11.5,"Inverts (Marshall)","Synaptidae",FALSE
"560","Leptopentacta elongata",9,"Inverts (Marshall)","Cucumariidae",FALSE
"561","Loxechinus albus",26.5,"Inverts (Marshall)","Parechinidae",TRUE
"562","Luidia alternata",13,"Inverts (Marshall)","Luidiidae",FALSE
"563","Luidia senegalensis",18,"Inverts (Marshall)","Luidiidae",FALSE
"564","Luidia quinaria",36,"Inverts (Marshall)","Luidiidae",FALSE
"565","Luidia ciliaris",28,"Inverts (Marshall)","Luidiidae",FALSE
"566","Luidia savignyi",12,"Inverts (Marshall)","Luidiidae",FALSE
"567","Luidia clathrata",28,"Inverts (Marshall)","Luidiidae",FALSE
"568","Lytechinus pictus",24,"Inverts (Marshall)","Toxopneustidae",FALSE
"569","Meridiastra gunnii",14,"Inverts (Marshall)","Asterinidae",FALSE
"570","Meridiastra calcar",14,"Inverts (Marshall)","Asterinidae",FALSE
"571","Metacrinus rotundus",11,"Inverts (Marshall)","Isselicrinidae",FALSE
"572","Molpadia intermedia",6.5,"Inverts (Marshall)","Molpadiidae",FALSE
"573","Nudechinus gravieri",15,"Inverts (Marshall)","Toxopneustidae",FALSE
"574","Ophiocomina nigra",37.5,"Inverts (Marshall)","Ophiotomidae",FALSE
"575","Ophioderma brevispina",5,"Inverts (Marshall)","Ophiodermatidae",FALSE
"576","Ophiomaza cacaotica",13,"Inverts (Marshall)","Ophiotrichidae",FALSE
"577","Ophioplocus japonicus",6,"Inverts (Marshall)","Hemieuryalidae",FALSE
"578","Ophiothrix",21,"Inverts (Marshall)","Ophiotrichidae",FALSE
"579","Ophiothrix fragilis",26,"Inverts (Marshall)","Ophiothricidae",FALSE
"580","Paracaudina chilensis",13,"Inverts (Marshall)","Caudinidae",FALSE
"581","Parechinus angulosus",56,"Inverts (Marshall)","Echinidae",FALSE
"582","Patiria miniata",38,"Inverts (Marshall)","Asterinidae",FALSE
"583","Pentamera populifera",6.5,"Inverts (Marshall)","Phyllophoridae",FALSE
"584","Prionocidaris baculosa",25,"Inverts (Marshall)","Cidaridae",FALSE
"585","Psammechinus miliaris",58,"Inverts (Marshall)","Echinidae",FALSE
"586","Pseudocnus echinatus",7.5,"Inverts (Marshall)","Cucumariidae",FALSE
"587","Psolus fabricii",55,"Inverts (Marshall)","Psolidae",FALSE
"588","Psolus phantapus",58.5,"Inverts (Marshall)","Psolidae",FALSE
"589","Scaphechinus mirabilis",29,"Inverts (Marshall)","Scutellidae",FALSE
"590","Solaster endeca",76,"Inverts (Marshall)","Solasteridae",FALSE
"591","Stichopus",12,"Inverts (Marshall)","Stichopodidae",FALSE
"592","Strongylocentrotus intermedius",32.5,"Inverts (Marshall)","Strongylocentro",FALSE
"593","Tetrapygus niger",107,"Inverts (Marshall)","Arbaciidae",FALSE
"594","Tripneustes gratilla",18,"Inverts (Marshall)","Toxopneustidae",FALSE
"595","Lobophytum compactum",5.5,"Inverts (Marshall)","Alcyoniidae",FALSE
"596","Vermetus",1,"Inverts (Marshall)","Vermetidae",FALSE
"597","Leodia sexiesperforata",5,"Inverts (Marshall)","Mellitidae",FALSE
"598","Mellita tenuis",10,"Inverts (Marshall)","Mellitidae",FALSE
"599","Florometra serratissima",5,"Inverts (Marshall)","Antedonidae",FALSE
"600","Ophiothrix oerstedii",4.3,"Inverts (Marshall)","Ophiothricidae",FALSE
"601","Ophiocoma pumila",90,"Inverts (Marshall)","Ophiocomidae",FALSE
"602","Conopea galeata",11.5,"Inverts (Marshall)","Archaeobalanida",FALSE
"603","Tegula funebralis",5,"Inverts (Marshall)","Tegulidae",FALSE
"604","Holopneustes purpurascens",8,"Inverts (Marshall)","Temnopleuridae",FALSE
"605","Peronella japonica",2,"Inverts (Marshall)","Laganidae",FALSE
"606","Phyllacanthus imperialis",4,"Inverts (Marshall)","Cidaridae",FALSE
"607","Echinometra mathaei",40,"Inverts (Marshall)","Echinometridae",FALSE
"608","Heliocidaris crassispina",37,"Inverts (Marshall)","Echinometridae",FALSE
"609","Mespilia globulus",35,"Inverts (Marshall)","Temnopleuridae",FALSE
"610","Pecten maximus",26,"Inverts (Marshall)","Pectinidae",TRUE
"611","Neverita lewisii",35,"Inverts (Marshall)","Naticidae",FALSE
"612","Conus lividus",50,"Inverts (Marshall)","Conidae",FALSE
"613","Conus marmoreus",10,"Inverts (Marshall)","Conidae",FALSE
"614","Conus textile",16,"Inverts (Marshall)","Conidae",FALSE
"615","Conus abbreviatus",32,"Inverts (Marshall)","Conidae",FALSE
"616","Conus striatus",20,"Inverts (Marshall)","Scelionidae",FALSE
"617","Conus quercinus",30,"Inverts (Marshall)","Conidae",FALSE
"618","Conus flavidus",23,"Inverts (Marshall)","Conidae",FALSE
"619","Holothuria (Metriatyla) scabra",15.5,"Inverts (Marshall)","Holothuriidae",FALSE
"620","Schistomeringos rudolphi",8,"Inverts (Marshall)","Dorvilleidae",FALSE
"621","Clytia gregaria",7.5,"Inverts (Marshall)","Campanulariidae",FALSE
"622","Hydroides dianthus",5,"Inverts (Marshall)","Serpulidae",FALSE
"623","Spirobranchus triqueter",21,"Inverts (Marshall)","Serpulidae",FALSE
"624","Loimia medusa",30,"Inverts (Marshall)","Terebellidae",FALSE
"625","Macrophiothrix spongicola",30,"Inverts (Marshall)","Ophiotricidae",FALSE
"626","Ophiactis resiliens",60,"Inverts (Marshall)","Ophiactidae",FALSE
"627","Ophionereis schayeri",6.5,"Inverts (Marshall)","Ophionereididae",FALSE
"628","Littorina brevicula",7,"Inverts (Marshall)","Littorinidae",FALSE
"629","Ophiolepis elegans",2,"Inverts (Marshall)","Ophiurudae",FALSE
"630","Ophiolepis elegans",2,"Inverts (Marshall)","Ophiurudae",FALSE
"631","Ophiolepis elegans",2,"Inverts (Marshall)","Ophiurudae",FALSE
"632","Ophiolepis elegans",2,"Inverts (Marshall)","Ophiurudae",FALSE
"633","Apostichopus californicus",71,"Inverts (Marshall)","Stichopodidae",FALSE
"634","Dendraster excentricus",115,"Inverts (Marshall)","Dendrasteridae",FALSE
"635","Luidia foliolata",100.5,"Inverts (Marshall)","Luidiidae",FALSE
"636","Ophiopholis aculeata",30,"Inverts (Marshall)","Ophiopholidae",FALSE
"637","Pisaster ochraceus",152,"Inverts (Marshall)","Asteriidae",FALSE
"638","Aplysia dactylomela",30,"Inverts (Marshall)","Aplysiidae",FALSE
"639","Aplysia juliana",28,"Inverts (Marshall)","Aplysiidae",FALSE
"640","Dolabella auricularia",31,"Inverts (Marshall)","Aplysiidae",FALSE
"641","Stylocheilus longicauda",30,"Inverts (Marshall)","Aplysiidae",FALSE
"642","Echinocyamus pusillus",45,"Inverts (Marshall)","Fibulariidae",FALSE
"643","Doris pseudoargus",37,"Inverts (Marshall)","Archidorididae",FALSE
"644","Onchidoris muricata",58.5,"Inverts (Marshall)","Onchidorididae",FALSE
"645","Ophiodaphne formata",21.125,"Inverts (Marshall)","Ophiactidae",FALSE
"646","Echinometra viridis",14,"Inverts (Marshall)","Echinometridae",FALSE
"647","Elysia viridis",30,"Inverts (Marshall)","Plakobranchidae",FALSE
"648","Tripneustes ventricosus",28,"Inverts (Marshall)","Toxopneustidae",FALSE
"649","Hydroides dirampha",10,"Inverts (Marshall)","Serpulidae",FALSE
"650","Styela plicata",1,"Inverts (Marshall)","Styelidae",FALSE
"651","Uniophora granifera",4,"Inverts (Marshall)","Stichasteridae",FALSE
"652","Notomithrax peronii",34,"Inverts (Marshall)","Majidae",FALSE
