,SciName,PLD,database,Family_aqua,Family_fishbase,Family_marshall,Family_manual,Note,References
1,Scorpaena porcus,29,Manual search,,,,Scorpaenidae,,"Macpherson, E. and Ravent—s, N., 2006. Relationship between pelagic larval duration and geographic distribution of Mediterranean littoral fishes.ÊMarine Ecology Progress Series,Ê327, pp.257-265."
2,Scorpaena scofra,25,Manual search,,,,Scorpaenidae,,"Macpherson, E. and Ravent—s, N., 2006. Relationship between pelagic larval duration and geographic distribution of Mediterranean littoral fishes.ÊMarine Ecology Progress Series,Ê327, pp.257-265."
3,Uropterygius micropterus,54.6,Manual search,,,,Muraenidae,Data from multiple individuals,"Huang, W.C., Chang, J.T., Liao, C., Tawa, A., Iizuka, Y., Liao, T.Y. and Shiao, J.C., 2018. Pelagic larval duration, growth rate, and population genetic structure of the tidepool snake moray Uropterygius micropterus around the southern Ryukyu Islands, Taiwan, and the central Philippines.ÊPeerJ,Ê6, p.e4741."
