"","SciName","PLD","database","Family_aqua","Family_fishbase","Family_marshall"
"1","Auxis rochei",16,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"2","Coregonus schinzii",29,"Fish and Inverts (Ramesh)",NA,NA,NA
"3","Sciaenops ocellatus",22,"Fish and Inverts (Ramesh)","Sciaenidae","Sciaenidae",NA
"4","Scomber thazard",10,"Fish and Inverts (Ramesh)",NA,NA,NA
"5","Anchoviella mauii",35,"Fish and Inverts (Ramesh)",NA,NA,NA
"6","Solea vulgaris vulgaris",35,"Fish and Inverts (Ramesh)",NA,NA,NA
"7","Alosa pilchardus",40,"Fish and Inverts (Ramesh)",NA,NA,NA
"8","Sardina pilchardus",40,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"9","Sardinella aurita",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"10","Thunnus albacares",25,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"11","Thunnus albacares",25,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"12","Thunnus albacares",25,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"13","Coregonus artedii",26,"Fish and Inverts (Ramesh)",NA,NA,NA
"14","Clupea harengus membras",160,"Fish and Inverts (Ramesh)",NA,NA,NA
"15","Thunnus maccoyii",24,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"16","Auxis thazzard",10,"Fish and Inverts (Ramesh)",NA,NA,NA
"17","Sparus aurata",50,"Fish and Inverts (Ramesh)","Sparidae","Sparidae",NA
"18","Sardinella pinnula",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"19","Chanos chanos",44,"Fish and Inverts (Ramesh)","Chanidae","Chanidae",NA
"20","Chanos chanos",44,"Fish and Inverts (Ramesh)","Chanidae","Chanidae",NA
"21","Chanos chanos",44,"Fish and Inverts (Ramesh)","Chanidae","Chanidae",NA
"22","Chanos chanos",44,"Fish and Inverts (Ramesh)","Chanidae","Chanidae",NA
"23","Gadus morhua",100,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"24","Gadus morhua",100,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"25","Gadus morhua",100,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"26","Gadus morhua",100,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"27","Trachurus symmetricus",0,"Fish and Inverts (Ramesh)","Carangidae","Carangidae",NA
"28","Auxis vulgaris",16,"Fish and Inverts (Ramesh)",NA,NA,NA
"29","Amblyglyphidodon curacao",13,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"30","Engraulis mordax",35,"Fish and Inverts (Ramesh)","Engraulidae","Engraulidae",NA
"31","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"32","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"33","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"34","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"35","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"36","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"37","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"38","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"39","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"40","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"41","Scophthalmus maximus",39,"Fish and Inverts (Ramesh)","Scophthalmidae","Scophthalmidae",NA
"42","Coregonus rondeletii",19,"Fish and Inverts (Ramesh)",NA,NA,NA
"43","Caranx symmetricus",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"44","Stolephorus zollingeri",47,"Fish and Inverts (Ramesh)",NA,NA,NA
"45","Archosargus rhomboidalis",21,"Fish and Inverts (Ramesh)","Sparidae","Sparidae",NA
"46","Morone saxatilis",33,"Fish and Inverts (Ramesh)","Moronidae","Moronidae",NA
"47","Salmo labradoricus",40,"Fish and Inverts (Ramesh)",NA,NA,NA
"48","Centropomus mullus",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"49","Centropomus mullus",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"50","Centropomus mullus",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"51","Sparidentex hasta",0,"Fish and Inverts (Ramesh)","Sparidae","Sparidae",NA
