"","SciName","PLD","database","Family_aqua","Family_fishbase","Family_marshall"
"52","Harengula jaguana",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"53","Coregonus sapidissimus",40,"Fish and Inverts (Ramesh)",NA,NA,NA
"54","Dicentrarchus lupus",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"55","Dicentrarchus lupus",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"56","Dicentrarchus lupus",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"57","Scolopsis taeniopterus",19,"Fish and Inverts (Ramesh)",NA,NA,NA
"58","Opisthonema oglinum",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"59","Merluccius productus",88,"Fish and Inverts (Ramesh)","Merlucciidae","Merlucciidae",NA
"60","Morone labrax",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"61","Morone labrax",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"62","Morone labrax",46,"Fish and Inverts (Ramesh)",NA,NA,NA
"63","Alosa pseudoharengus",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"64","Alosa pseudoharengus",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"65","Alosa pseudoharengus",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"66","Alosa pseudoharengus",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"67","Alosa pseudoharengus",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"68","Alosa pseudoharengus",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"69","Alosa pseudoharengus",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"70","Pleuronectes platessa",100,"Fish and Inverts (Ramesh)","Pleuronectidae","Pleuronectidae",NA
"71","Engraulis japonicus",47,"Fish and Inverts (Ramesh)","Engraulidae","Engraulidae",NA
"72","Salmo tullibee",26,"Fish and Inverts (Ramesh)",NA,NA,NA
"73","Solea solea",35,"Fish and Inverts (Ramesh)","Soleidae","Soleidae",NA
"74","Scomber rochei",16,"Fish and Inverts (Ramesh)",NA,NA,NA
"75","Dicentrarchus labrax",46,"Fish and Inverts (Ramesh)","Moronidae","Moronidae",NA
"76","Dicentrarchus labrax",46,"Fish and Inverts (Ramesh)","Moronidae","Moronidae",NA
"77","Dicentrarchus labrax",46,"Fish and Inverts (Ramesh)","Moronidae","Moronidae",NA
"78","Stolephorus tapirulus",74,"Fish and Inverts (Ramesh)",NA,NA,NA
"79","Alosa musica",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"80","Alosa musica",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"81","Alosa musica",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"82","Alosa musica",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"83","Theragra chalcogramma",108,"Fish and Inverts (Ramesh)","Gadidae",NA,NA
"84","Katsuwonus pelamis",20,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"85","Dentex hasta",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"86","Semicossyphus pulcher",52,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"87","Pagrus major",47,"Fish and Inverts (Ramesh)","Sparidae","Sparidae",NA
"88","Mugil salmoneus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"89","Mugil salmoneus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"90","Mugil salmoneus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"91","Mugil salmoneus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"92","Auxis thazard",10,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"93","Sardinops sagax",44,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"94","Sardinops sagax",44,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"95","Sardinops sagax",44,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"96","Sardinops sagax",44,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"97","Mallotus villosus",150,"Fish and Inverts (Ramesh)","Osmeridae","Osmeridae",NA
"98","Scomber scombrus",40,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"99","Scomber scombrus",40,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"100","Scomber scombrus",40,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"101","Scomber scombrus",40,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"102","Scomberomorus cavalla",12,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"103","Lutjanus triangulum",22,"Fish and Inverts (Ramesh)",NA,NA,NA
"104","Micromesistius poutassou",0,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"105","Micromesistius poutassou",0,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"106","Scomber thynnus",28,"Fish and Inverts (Ramesh)",NA,NA,NA
"107","Scomber maculatus",9,"Fish and Inverts (Ramesh)",NA,NA,NA
"108","Scomber maculatus",9,"Fish and Inverts (Ramesh)",NA,NA,NA
"109","Scomber maculatus",9,"Fish and Inverts (Ramesh)",NA,NA,NA
"110","Decapterus polyaspis",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"111","Coregonus brevis",28,"Fish and Inverts (Ramesh)",NA,NA,NA
"112","Clupea harengus",160,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"113","Trachurus symmetricus symmetricus",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"114","Morone rufa",85,"Fish and Inverts (Ramesh)",NA,NA,NA
"115","Coregonus albula",28,"Fish and Inverts (Ramesh)","Salmonidae","Salmonidae",NA
"116","Scomber vulgaris",40,"Fish and Inverts (Ramesh)",NA,NA,NA
"117","Scomber vulgaris",40,"Fish and Inverts (Ramesh)",NA,NA,NA
"118","Scomber vulgaris",40,"Fish and Inverts (Ramesh)",NA,NA,NA
"119","Scomber vulgaris",40,"Fish and Inverts (Ramesh)",NA,NA,NA
"120","Scomber sloanei",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"121","Scomber sloanei",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"122","Scomber sloanei",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"123","Coregonus lavaretus",19,"Fish and Inverts (Ramesh)","Salmonidae","Salmonidae",NA
"124","Salmo socialis",150,"Fish and Inverts (Ramesh)",NA,NA,NA
"125","Oreochromis mossambicus",0,"Fish and Inverts (Ramesh)",NA,"Cichlidae",NA
"126","Thunnus zacalles",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"127","Thunnus zacalles",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"128","Thunnus zacalles",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"129","Alosa teres",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"130","Alosa teres",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"131","Alosa teres",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"132","Alosa teres",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"133","Centropomus sandat",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"134","Salmo lavaretus",19,"Fish and Inverts (Ramesh)",NA,NA,NA
"135","Thunnus rocheanus",16,"Fish and Inverts (Ramesh)",NA,NA,NA
"136","Pseudopleuronectes americanus",87,"Fish and Inverts (Ramesh)","Pleuronectidae","Pleuronectidae",NA
"137","Menidia menidia",35,"Fish and Inverts (Ramesh)","Atherinopsidae","Atherinopsidae",NA
"138","Harengula pensacolae",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"139","Abudefduf melanopselion",18,"Fish and Inverts (Ramesh)",NA,NA,NA
"140","Dorosoma notata",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"141","Dorosoma notata",0,"Fish and Inverts (Ramesh)",NA,NA,NA
"142","Cynoscion nebulosus",19,"Fish and Inverts (Ramesh)","Sciaenidae","Sciaenidae",NA
"143","Labroides dimidiatus",26,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"144","Scomber scombrus japonicus",17,"Fish and Inverts (Ramesh)",NA,NA,NA
"145","Scomber scombrus japonicus",17,"Fish and Inverts (Ramesh)",NA,NA,NA
"146","Etrumeus sadina",0,"Fish and Inverts (Ramesh)","Dussumieriidae","Dussumieriidae",NA
"147","Etrumeus sadina",0,"Fish and Inverts (Ramesh)","Dussumieriidae","Dussumieriidae",NA
"148","Etrumeus sadina",0,"Fish and Inverts (Ramesh)","Dussumieriidae","Dussumieriidae",NA
"149","Etrumeus sadina",0,"Fish and Inverts (Ramesh)","Dussumieriidae","Dussumieriidae",NA
"150","Morone flavescens",36,"Fish and Inverts (Ramesh)",NA,NA,NA
"151","Morone saxitilis",33,"Fish and Inverts (Ramesh)",NA,NA,NA
"152","Achirus lineatus",23,"Fish and Inverts (Ramesh)","Achiridae","Achiridae",NA
"153","Scomberomorus maculatus",9,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"154","Scomberomorus maculatus",9,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"155","Scomberomorus maculatus",9,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"156","Coregonus hoyi",24,"Fish and Inverts (Ramesh)",NA,"Salmonidae",NA
"157","Engraulis ringens",74,"Fish and Inverts (Ramesh)","Engraulidae","Engraulidae",NA
"158","Engraulis encrasicolus",37,"Fish and Inverts (Ramesh)","Engraulidae","Engraulidae",NA
"159","Dorosoma cepedianum",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"160","Dorosoma cepedianum",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"161","Anchoviella guineensis",37,"Fish and Inverts (Ramesh)",NA,NA,NA
"162","Alosa sapidissima",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"163","Alosa sapidissima",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"164","Alosa sapidissima",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"165","Alosa sapidissima",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"166","Alosa sapidissima",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"167","Alosa sapidissima",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"168","Alosa sapidissima",0,"Fish and Inverts (Ramesh)","Clupeidae","Clupeidae",NA
"169","Anchoa mitchilli",32,"Fish and Inverts (Ramesh)","Engraulidae","Engraulidae",NA
"170","Thunnus thynnus maccoyii",24,"Fish and Inverts (Ramesh)",NA,NA,NA
"171","Cheilodipterus quinquelineatus",23,"Fish and Inverts (Ramesh)","Apogonidae","Apogonidae",NA
"172","Scomber pelamys",20,"Fish and Inverts (Ramesh)",NA,NA,NA
"173","Melanogrammus aeglefinus",127,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"174","Melanogrammus aeglefinus",127,"Fish and Inverts (Ramesh)","Gadidae","Gadidae",NA
"175","Thunnus thynnus",28,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"176","Ammodytes americanus",159,"Fish and Inverts (Ramesh)","Ammodytidae","Ammodytidae",NA
"177","Paralichthys dentatus",99,"Fish and Inverts (Ramesh)","Paralichthyidae","Paralichthyidae",NA
"178","Paralichthys dentatus",99,"Fish and Inverts (Ramesh)","Paralichthyidae","Paralichthyidae",NA
"179","Paralichthys dentatus",99,"Fish and Inverts (Ramesh)","Paralichthyidae","Paralichthyidae",NA
"180","Scomber quadripunctatus",24,"Fish and Inverts (Ramesh)",NA,NA,NA
"181","Salmo vimba",28,"Fish and Inverts (Ramesh)",NA,NA,NA
"182","Morone americana",85,"Fish and Inverts (Ramesh)","Moronidae","Moronidae",NA
"183","Abudefduf curacao",13,"Fish and Inverts (Ramesh)",NA,NA,NA
"184","Sardinops caeruleus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"185","Sardinops caeruleus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"186","Sardinops caeruleus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"187","Sardinops caeruleus",44,"Fish and Inverts (Ramesh)",NA,NA,NA
"188","Scomber japonicus",17,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"189","Scomber japonicus",17,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"190","Thunnus vulgaris",28,"Fish and Inverts (Ramesh)",NA,NA,NA
"191","Anchoviella tapirulus",74,"Fish and Inverts (Ramesh)",NA,NA,NA
"192","Euthynnus alletteratus",24,"Fish and Inverts (Ramesh)","Scombridae","Scombridae",NA
"193","Callichirus islagrande",14,"Fish and Inverts (Ramesh)",NA,NA,NA
"194","Hemigrapsus oregonensis",24.5,"Fish and Inverts (Ramesh)",NA,NA,NA
"195","Lepidophthalmus louisianensis",3,"Fish and Inverts (Ramesh)",NA,NA,NA
"196","Pachygrapsus crassipes",88,"Fish and Inverts (Ramesh)",NA,NA,NA
"197","Pandalus borealis",105,"Fish and Inverts (Ramesh)","Pandalidae",NA,NA
"198","Penaeus monodon",14,"Fish and Inverts (Ramesh)","Penaeidae",NA,NA
"199","Penaeus monodon",14,"Fish and Inverts (Ramesh)","Penaeidae",NA,NA
"200","Synalpheus pectiniger",3,"Fish and Inverts (Ramesh)",NA,NA,NA
"201","Abudefduf saxatilis",23,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"202","Acanthochromis polyacanthus",0,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"203","Acanthochromis polyacanthus",0,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"204","Acanthurus chirurgus",55.2,"Fish and Inverts (Ramesh)","Acanthuridae","Acanthuridae",NA
"205","Acanthurus triostegus",60,"Fish and Inverts (Ramesh)","Acanthuridae","Acanthuridae",NA
"206","Acanthurus triostegus",60,"Fish and Inverts (Ramesh)","Acanthuridae","Acanthuridae",NA
"207","Acanthurus triostegus",65,"Fish and Inverts (Ramesh)","Acanthuridae","Acanthuridae",NA
"208","Alloclinus holderi",60,"Fish and Inverts (Ramesh)",NA,"Labrisomidae",NA
"209","Amphiprion clarkii",11.5,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"210","Amphiprion melanopus",18.5,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"211","Arnoglossus thori",31.4,"Fish and Inverts (Ramesh)","Bothidae","Bothidae",NA
"212","Atherina hepsetus",83,"Fish and Inverts (Ramesh)","Atherinidae","Atherinidae",NA
"213","Axoclinus nigricaudus",18,"Fish and Inverts (Ramesh)","Tripterygiidae","Tripterygiidae",NA
"214","Balistes vetula",75,"Fish and Inverts (Ramesh)","Balistidae","Balistidae",NA
"215","Bathygobius soporator",30,"Fish and Inverts (Ramesh)","Gobiidae","Gobiidae",NA
"216","Boops boops",16.9,"Fish and Inverts (Ramesh)","Sparidae","Sparidae",NA
"217","Bothus podas",33.7,"Fish and Inverts (Ramesh)","Bothidae","Bothidae",NA
"218","Caesio cuning",45,"Fish and Inverts (Ramesh)","Caesionidae","Caesionidae",NA
"219","Chaetodon citrinellus",45,"Fish and Inverts (Ramesh)","Chaetodontidae","Chaetodontidae",NA
"220","Chaetodon quadrimaculatus",45,"Fish and Inverts (Ramesh)","Chaetodontidae","Chaetodontidae",NA
"221","Chanos chanos",21,"Fish and Inverts (Ramesh)","Chanidae","Chanidae",NA
"222","Chelidonichthys spinosus",19,"Fish and Inverts (Ramesh)","Triglidae","Triglidae",NA
"223","Chionodraco hamatus",547,"Fish and Inverts (Ramesh)","Channichthyidae","Channichthyidae",NA
"224","Chromis atripectoralis",21,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"225","Chromis punctipinnis",35,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"226","Chromis xanthura",25,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"227","Chrysiptera glauca",25,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"228","Clevelandia ios",21,"Fish and Inverts (Ramesh)","Gobiidae","Gobiidae",NA
"229","Clinocottus analis",42,"Fish and Inverts (Ramesh)","Cottidae","Cottidae",NA
"230","Coris julis",35,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"231","Ctenolabrus rupestris",20.9,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"232","Cynoscion nebulosus",20,"Fish and Inverts (Ramesh)","Sciaenidae","Sciaenidae",NA
"233","Dascyllus aruanus",23,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"234","Dascyllus aruanus",25,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"235","Dascyllus trimaculatus",23,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"236","Didogobius schlieweni",26,"Fish and Inverts (Ramesh)",NA,"Gobiidae",NA
"237","Dissostichus mawsoni",547,"Fish and Inverts (Ramesh)","Nototheniidae","Nototheniidae",NA
"238","Elacatinus evelynae",22.3,"Fish and Inverts (Ramesh)","Gobiidae","Gobiidae",NA
"239","Embiotoca jacksoni",0,"Fish and Inverts (Ramesh)","Embiotocidae","Embiotocidae",NA
"240","Engraulis mordax",30,"Fish and Inverts (Ramesh)","Engraulidae","Engraulidae",NA
"241","Epinephelus merra",39,"Fish and Inverts (Ramesh)","Serranidae","Serranidae",NA
"242","Epinephelus morio",40,"Fish and Inverts (Ramesh)","Serranidae","Serranidae",NA
"243","Epinephelus morio",40,"Fish and Inverts (Ramesh)","Serranidae","Serranidae",NA
"244","Eucyclogobius newberryi",16.5,"Fish and Inverts (Ramesh)",NA,"Gobiidae",NA
"245","Eupomacentrus partitus",28,"Fish and Inverts (Ramesh)",NA,NA,NA
"246","Forcipiger flavissimus",45,"Fish and Inverts (Ramesh)","Chaetodontidae","Chaetodontidae",NA
"247","Gaidropsarus mediterraneus",43,"Fish and Inverts (Ramesh)","Lotidae","Gaidropsaridae",NA
"248","Gasterosteus aculeatus",35,"Fish and Inverts (Ramesh)","Gasterosteidae","Gasterosteidae",NA
"249","Girella nigricans",60,"Fish and Inverts (Ramesh)","Kyphosidae","Girellidae",NA
"250","Gnatholepis thompsoni",81.5,"Fish and Inverts (Ramesh)","Gobiidae","Gobiidae",NA
"251","Gobionotothen gibberifrons",120,"Fish and Inverts (Ramesh)","Nototheniidae","Nototheniidae",NA
"252","Haemulon flavolineatum",15,"Fish and Inverts (Ramesh)","Haemulidae","Haemulidae",NA
"253","Haemulon flavolineatum",15,"Fish and Inverts (Ramesh)","Haemulidae","Haemulidae",NA
"254","Halichoeres bivittatus",24.1,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"255","Halichoeres bivittatus",24.2,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"256","Halichoeres maculipinna",29,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"257","Halichoeres poey",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"258","Halichoeres radiatus",26,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"259","Hippocampus NA",18.5,"Fish and Inverts (Ramesh)",NA,NA,NA
"260","Holocentrus ascensionis",48.7,"Fish and Inverts (Ramesh)",NA,NA,NA
"261","Holocentrus ascensionis",71,"Fish and Inverts (Ramesh)",NA,NA,NA
"262","Lachnolaimus maximus",26,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"263","Lethrinus obsoletus",14,"Fish and Inverts (Ramesh)","Lethrinidae","Lethrinidae",NA
"264","Lutjanus erythropterus",21,"Fish and Inverts (Ramesh)","Lutjanidae","Lutjanidae",NA
"265","Lythrypnus dalli",70,"Fish and Inverts (Ramesh)","Gobiidae","Gobiidae",NA
"266","Malacoctenus hubbsi",24,"Fish and Inverts (Ramesh)","Labrisomidae","Labrisomidae",NA
"267","Medialuna californiensis",90,"Fish and Inverts (Ramesh)","Kyphosidae","Scorpididae",NA
"268","Mullus surmuletus",30.1,"Fish and Inverts (Ramesh)","Mullidae","Mullidae",NA
"269","Mycteroperca NA",42,"Fish and Inverts (Ramesh)",NA,NA,NA
"270","Myripristis berndti",55,"Fish and Inverts (Ramesh)","Holocentridae","Holocentridae",NA
"271","Myripristis jacobus",58,"Fish and Inverts (Ramesh)","Holocentridae","Holocentridae",NA
"272","Naso vlamingii",90,"Fish and Inverts (Ramesh)","Acanthuridae","Acanthuridae",NA
"273","Ocyurus NA",34.5,"Fish and Inverts (Ramesh)",NA,NA,NA
"274","Ophioblennius atlanticus",28.6,"Fish and Inverts (Ramesh)",NA,"Blenniidae",NA
"275","Ophioblennius steindachneri",50,"Fish and Inverts (Ramesh)","Blenniidae","Blenniidae",NA
"276","Ostorhinchus doederleini",21,"Fish and Inverts (Ramesh)","Apogonidae","Apogonidae",NA
"277","Pagellus NA",43.9,"Fish and Inverts (Ramesh)",NA,NA,NA
"278","Paralabrax clathratus",24,"Fish and Inverts (Ramesh)","Serranidae","Serranidae",NA
"279","Parupeneus barberinus",7,"Fish and Inverts (Ramesh)","Mullidae","Mullidae",NA
"280","Plectroglyphydodon dickii",25,"Fish and Inverts (Ramesh)",NA,NA,NA
"281","Pomacentrus coelestis",19,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"282","Pomacentrus pavo",25,"Fish and Inverts (Ramesh)","Pomacentridae","Pomacentridae",NA
"283","Pomatoschistus minutus",35,"Fish and Inverts (Ramesh)","Gobiidae","Gobiidae",NA
"284","Pterapogon kauderni",0,"Fish and Inverts (Ramesh)",NA,"Apogonidae",NA
"285","Pterocaesio chrysozona",42,"Fish and Inverts (Ramesh)","Caesionidae","Caesionidae",NA
"286","Rhinecanthus aculeatus",73,"Fish and Inverts (Ramesh)","Balistidae","Balistidae",NA
"287","Sarpa salpa",31.7,"Fish and Inverts (Ramesh)","Sparidae","Sparidae",NA
"288","Sciaena umbra",22.5,"Fish and Inverts (Ramesh)","Sciaenidae","Sciaenidae",NA
"289","Scorpaena NA",27,"Fish and Inverts (Ramesh)",NA,NA,NA
"290","Sebastes atrovirens",75,"Fish and Inverts (Ramesh)","Sebastidae","Sebastidae",NA
"291","Sebastes auriculatus",90,"Fish and Inverts (Ramesh)","Sebastidae","Sebastidae",NA
"292","Sebastes caurinus",75,"Fish and Inverts (Ramesh)","Sebastidae","Sebastidae",NA
"293","Sebastes crameri",90,"Fish and Inverts (Ramesh)","Sebastidae","Sebastidae",NA
"294","Sebastes rastrelliger",60,"Fish and Inverts (Ramesh)","Sebastidae","Sebastidae",NA
"295","Semicossyphus pulcher",53,"Fish and Inverts (Ramesh)","Labridae","Labridae",NA
"296","Serranus NA",37.5,"Fish and Inverts (Ramesh)",NA,NA,NA
"297","Siganus luridus",14,"Fish and Inverts (Ramesh)","Siganidae","Siganidae",NA
