diver_base,diver_scenario,change_number_divers,percent_change_ndiver,percent_change_WTP,references
15,10,-5,-33.33333333,0,"Cazabon-Mannette et al., 2017"
15,5,-10,-66.66666667,0.824,"Cazabon-Mannette et al., 2017"
15,0,-15,-100,1.256,"Cazabon-Mannette et al., 2017"
15,10,-5,-33.33333333,0.6867,"Schuhmann et al., 2013"
15,5,-10,-66.66666667,0.9989,"Schuhmann et al., 2013"
15,0,-15,-100,1.3497,"Schuhmann et al., 2013"
4,8,4,100,0,"Shideler and Pierce, 2016"
4,15,11,275,-0.9555,"Shideler and Pierce, 2016"
4,25,21,525,-2.7113,"Shideler and Pierce, 2016"
