scientific,LarvaeDuration,EggDuration,EggFloating
Raja abyssicola,NA,NA,in sand or gravel
Pseudochaenichthys georgianus,NA,NA,on the bottom (demersal)
Glyptocephalus zachirus,NA,NA,
Hydrolagus tsengi,NA,NA,on the bottom (demersal)
Raja vomer,NA,NA,in sand or gravel
Raja melitensis,NA,NA,in sand or gravel
Auxis rochei,16,NA,buoyant (pelagic)
Raja wallacei,NA,NA,in sand or gravel
Rajella bigelowi,NA,NA,in sand or gravel
Raja hollandi,NA,NA,in sand or gravel
Ciliata mustela,NA,NA,buoyant (pelagic)
Macrourus fabricii,NA,NA,
Diodon nummularis,NA,NA,buoyant (pelagic)
Terapon idoneus,NA,0.96,on the bottom (demersal)
Salmo quadrilateralis,NA,NA,in sand or gravel
Anchoviella scitula,NA,NA,buoyant (pelagic)
Raja nitida,NA,NA,in sand or gravel
Centropristis striata,NA,1.58,
Centropristis striata,NA,3.13,
Centropristis striata,NA,5,
Bathylagus greyae,NA,NA,buoyant (pelagic)
Solea uncinata,NA,NA,buoyant (pelagic)
Caesio varilineatus,NA,NA,buoyant (pelagic)
Lutjanus vittus,NA,NA,
Eleginus nawaga,NA,NA,on the bottom (demersal)
Raja maderensis,NA,NA,on the bottom (demersal)
Harengula fimbriata,NA,NA,
Raja richardsoni,NA,NA,on the bottom (demersal)
Bathyraja longicauda,NA,NA,on the bottom (demersal)
Scomber lanceolatus,NA,2.08,buoyant (pelagic)
Regalecus glesne,NA,NA,buoyant (pelagic)
Enchelyopus cimbrius,NA,NA,buoyant (pelagic)
Tylosurus fodiator,NA,NA,on the bottom (demersal)
Belone svetovidovi,NA,NA,on the bottom (demersal)
Hippocampus montebelloensis,NA,NA,in brood pouch
Raja purpuriventralis,NA,NA,on the bottom (demersal)
Makaira nigricans mazara,NA,NA,buoyant (pelagic)
Raja lemprieri,NA,NA,in sand or gravel
Tylosurus hians,NA,NA,on the bottom (demersal)
Seriola succinta,NA,NA,on the bottom (demersal)
Hippocampus comes,NA,NA,in brood pouch
Raja stellulata,NA,NA,in sand or gravel
Lophius tricornis,NA,NA,buoyant (pelagic)
Merluccius merluccius,NA,4,buoyant (pelagic)
Merluccius merluccius,NA,4,buoyant (pelagic)
Merluccius merluccius,NA,4,buoyant (pelagic)
Merluccius merluccius,NA,10,buoyant (pelagic)
Merluccius merluccius,NA,4,buoyant (pelagic)
Dipturus laevis,NA,NA,in sand or gravel
Alepocephalus rostratus,NA,NA,buoyant (pelagic)
Scomber crysos,NA,NA,buoyant (pelagic)
Hippocampus subcoronatus,NA,NA,in brood pouch
Raja eatonii,NA,NA,on the bottom (demersal)
Bathyraja pseudoisotrachys,NA,NA,on the bottom (demersal)
Coregonus schinzii,29,NA,
Sebastes atrovirens,NA,NA,in female (livebearers)
Aphanopus carbo,NA,NA,buoyant (pelagic)
Seriolella brama,NA,NA,buoyant (pelagic)
Trematomus bernachii,NA,95,on the bottom (demersal)
