scientific,LarvaeDuration,EggDuration,EggFloating
Salmo masou,NA,NA,in sand or gravel
Scophthalmus aquosus,NA,NA,buoyant (pelagic)
Bathylagus glacialis,NA,NA,
Anchoviella epsetus,NA,NA,buoyant (pelagic)
Dipturus batis,NA,NA,in sand or gravel
Sciaenops ocellatus,22,NA,
Stolephorus pseudoheterolobus,NA,NA,buoyant (pelagic)
Thyrsites atun,NA,2.08,buoyant (pelagic)
Lycodes esmarkii,NA,NA,on the bottom (demersal)
Raja olseni,NA,NA,on the bottom (demersal)
Raja johannisdavisi,NA,NA,on the bottom (demersal)
Hippocampus whitei,NA,NA,in brood pouch
Cheilodipterus macrodon,NA,NA,in mouth (mouthbrooders)
Trematomus tokarevi,NA,NA,on the bottom (demersal)
Hyperoglyphe bythites,NA,NA,buoyant (pelagic)
Alepocephalus agassizii,NA,NA,buoyant (pelagic)
Raja trachura,NA,NA,in sand or gravel
Haemulon album,NA,NA,buoyant (pelagic)
Bairdiella chrysoura,NA,0.75,buoyant (pelagic)
Bairdiella chrysoura,NA,1.88,buoyant (pelagic)
Raja violacea,NA,NA,in sand or gravel
Amblygobius phalaena,NA,NA,in covered nest (i.e. burrow or tunnel)
Hippocampus graciliformis,NA,NA,in brood pouch
Bathyraja taranetzi,NA,NA,in sand or gravel
Raja velezi,NA,NA,on the bottom (demersal)
Petromyzon marinus,NA,NA,in sand or gravel
Oncorhynchus rhodurus,NA,NA,in sand or gravel
Ctenolabrus rupestris,NA,14,buoyant (pelagic)
Bathyraja peruana,NA,NA,on the bottom (demersal)
Trichiurus gladius,NA,NA,buoyant (pelagic)
Caranx solea,NA,1.17,buoyant (pelagic)
Raja albomaculata,NA,NA,on the bottom (demersal)
Sebastes ensifer,NA,NA,in female (livebearers)
Squalus stellaris,NA,NA,fixed on plant or stone
Trigla vanessa,NA,NA,buoyant (pelagic)
Fistularia commersonii,NA,NA,buoyant (pelagic)
Raja koreana,NA,NA,on the bottom (demersal)
Chaetodon ulietensis,NA,NA,buoyant (pelagic)
Macrourus stroemii,NA,3.75,
Hippocampus hystrix,NA,NA,in brood pouch
Muraena helena,NA,NA,buoyant (pelagic)
Raja tobitukai,NA,NA,in sand or gravel
Cheilodipterus singapurensis,NA,NA,in mouth (mouthbrooders)
Scarus bleekeri,NA,NA,on the bottom (demersal)
Sebastes longispinis,NA,NA,in female (livebearers)
Sebastes chrysomelas,NA,NA,in female (livebearers)
Trisopterus luscus,NA,NA,buoyant (pelagic)
Haemulon carbonarium,NA,NA,buoyant (pelagic)
Epinephelus salmonoides,NA,0.8,
Scomber thazard,10,NA,
Raja kujiensis,NA,NA,in sand or gravel
Raja lintea,NA,NA,in sand or gravel
Mugil octoradiatus,NA,NA,buoyant (pelagic)
Serranus anthias,NA,NA,buoyant (pelagic)
Osmerus mordax mordax,NA,NA,in sand or gravel
Boreogadus saida,NA,NA,buoyant (pelagic)
Clupeonella cultriventris,NA,NA,buoyant (pelagic)
Anchoviella mauii,35,NA,buoyant (pelagic)
Sebastolobus alascanus,NA,NA,buoyant (pelagic)
Sebastes joyneri,NA,NA,in female (livebearers)
Bathyraja simoterus,NA,NA,in sand or gravel
Solea vulgaris vulgaris,35,10,buoyant (pelagic)
Scomber glaucus,NA,NA,buoyant (pelagic)
Alosa pilchardus,40,NA,buoyant (pelagic)
Pomadasys dovii,NA,NA,buoyant (pelagic)
Scolopsis sayanus,NA,NA,in open nest
Seriola quinqueradiata,NA,2.08,
Hypomesus pretiosus,NA,NA,in sand or gravel
Elops saurus,NA,NA,buoyant (pelagic)
Caesio teres,NA,NA,buoyant (pelagic)
Siganus guttatus,NA,0.83,on the bottom (demersal)
Sardina pilchardus,40,NA,buoyant (pelagic)
Ammodytes tobiunus,NA,NA,in sand or gravel
Caranx russelli,NA,NA,buoyant (pelagic)
Sebastes mentella,NA,NA,in female (livebearers)
Spondyliosoma cantharus,NA,NA,on the bottom (demersal)
Sardinella aurita,0,NA,
Haemulon parrai,NA,NA,buoyant (pelagic)
Nematalosa nasus,NA,NA,buoyant (pelagic)
Bathyraja trachura,NA,NA,in sand or gravel
Sebastes miniatus,NA,NA,in female (livebearers)
Brosme brosme,NA,10,buoyant (pelagic)
Brosme brosme,NA,10,buoyant (pelagic)
Brosme brosme,NA,10,buoyant (pelagic)
Trachurus capensis,NA,NA,
Raja jordani,NA,NA,in sand or gravel
Gadiculus argenteus thori,NA,NA,
Caranx wrighti,NA,NA,buoyant (pelagic)
Scomber gladius,NA,NA,buoyant (pelagic)
Trigla strigata,NA,NA,buoyant (pelagic)
Cetengraulis mysticetus,NA,NA,buoyant (pelagic)
Arius couma,NA,NA,in mouth (mouthbrooders)
Stolephorus punctifer,NA,NA,
Coregonus quadrilateralis,NA,NA,in sand or gravel
Bathyraja bergi,NA,NA,in sand or gravel
Porichthys notatus,NA,NA,fixed on plant or stone
Salvelinus alpinus alpinus,NA,NA,
Albula vulpes,NA,NA,buoyant (pelagic)
Coryphaena lessonii,NA,NA,buoyant (pelagic)
Thunnus albacares,25,1.34,buoyant (pelagic)
Thunnus albacares,25,1.4,buoyant (pelagic)
Thunnus albacares,25,1.85,buoyant (pelagic)
Helicolenus dactylopterus,NA,NA,buoyant (pelagic)
Dissostichus eleginoides,NA,75,on the bottom (demersal)
Chionodraco rastrospinosus,NA,NA,on the bottom (demersal)
Nemipterus virgatus,NA,1.17,buoyant (pelagic)
Stolephorus olidus,NA,NA,
Caesio nori,NA,0.96,buoyant (pelagic)
Sympterygia acuta,NA,NA,on the bottom (demersal)
Pomatomus saltatrix,NA,1.96,buoyant (pelagic)
Scomberomorus commersonii,NA,NA,buoyant (pelagic)
Ammodytes semisquamatus,NA,NA,
Belone senegalensis,NA,NA,on the bottom (demersal)
Cypselurus oxycephalus,NA,NA,
Alosa cyanonoton,NA,2.08,on the bottom (demersal)
Alosa cyanonoton,NA,2.35,on the bottom (demersal)
Alosa cyanonoton,NA,3.63,on the bottom (demersal)
Coregonus artedii,26,NA,
Bathyraja nigerrima,NA,NA,on the bottom (demersal)
Siganus sp.,NA,0.83,on the bottom (demersal)
Merluccius vulgaris,NA,4,buoyant (pelagic)
Merluccius vulgaris,NA,4,buoyant (pelagic)
Merluccius vulgaris,NA,4,buoyant (pelagic)
Merluccius vulgaris,NA,10,buoyant (pelagic)
Merluccius vulgaris,NA,4,buoyant (pelagic)
Thunnus obesus,NA,0.88,buoyant (pelagic)
Clupea harengus membras,160,NA,on the bottom (demersal)
Belone punctulata,NA,NA,on the bottom (demersal)
Menticirrhus saxatilis,NA,2,buoyant (pelagic)
Menticirrhus saxatilis,NA,2.08,buoyant (pelagic)
Bathyraja tobitukai,NA,NA,in sand or gravel
Platichthys flesus,NA,7,buoyant (pelagic)
Platichthys flesus,NA,7,buoyant (pelagic)
Anchoviella abbotti,NA,NA,
Sebastes elongatus,NA,NA,in female (livebearers)
Polynemus sheridani,NA,NA,buoyant (pelagic)
Lethrinus virescens,NA,NA,buoyant (pelagic)
Serranus cabrilla,NA,NA,buoyant (pelagic)
Raja radiata,NA,NA,in sand or gravel
Sebastes eos,NA,NA,in female (livebearers)
Thunnus maccoyii,24,NA,buoyant (pelagic)
Hydrolagus purpurescens,NA,NA,on the bottom (demersal)
Sebastes cortezi,NA,NA,in female (livebearers)
Caesio lunaris,NA,NA,buoyant (pelagic)
Auxis thazzard,10,NA,
Coryphaenoides rupestris,NA,3.75,
Brotula palmietensis,NA,NA,buoyant (pelagic)
Hydrolagus mirabilis,NA,NA,on the bottom (demersal)
Valenciennea strigata,NA,NA,in covered nest (i.e. burrow or tunnel)
Lethrinus scoparius,NA,0.74,buoyant (pelagic)
Lethrinus scoparius,NA,1.16,buoyant (pelagic)
Bathylagus microcephalus,NA,NA,buoyant (pelagic)
Zearaja nasuta,NA,NA,in sand or gravel
Chaetodon quadrimaculatus,NA,NA,buoyant (pelagic)
Trachurus vulgaris,NA,NA,buoyant (pelagic)
Haemulon moricandi,NA,NA,buoyant (pelagic)
Acanthurus bahianus,NA,NA,buoyant (pelagic)
Sphoeroides spengleri,NA,NA,on the bottom (demersal)
Merluccius magnoculus,NA,7,
Stolephorus aestuarius,NA,NA,fixed on plant or stone
Gymnothorax nigromarginatus,NA,NA,
Sphoeroides dorsalis,NA,NA,on the bottom (demersal)
Istiblennius edentulus,NA,NA,on the bottom (demersal)
Hippocampus minotaur,NA,NA,in brood pouch
Bathyraja tzinovskii,NA,NA,on the bottom (demersal)
Hippocampus erinaceus,NA,NA,in brood pouch
Decapterus pinnulatus,NA,0.38,buoyant (pelagic)
Raja cyclophora,NA,NA,on the bottom (demersal)
Pterocaesio pisang,NA,NA,buoyant (pelagic)
Stolephorus delicatissimus,NA,NA,buoyant (pelagic)
Naso brevorostris,NA,NA,buoyant (pelagic)
Sebastes auriculatus,NA,NA,in female (livebearers)
Scorpaena dactyloptera,NA,NA,buoyant (pelagic)
Notothenia neglecta,NA,150,on the bottom (demersal)
Notothenia neglecta,NA,103,on the bottom (demersal)
Notothenia neglecta,NA,150,on the bottom (demersal)
Trematomus hansoni georgianus,NA,NA,on the bottom (demersal)
Zeus faber,NA,NA,buoyant (pelagic)
Centropomus macrodon,NA,NA,in mouth (mouthbrooders)
Joturus pichardi,NA,NA,buoyant (pelagic)
Chelidonichthys cuculus,NA,NA,buoyant (pelagic)
Stolephorus oligobranchus,NA,NA,
Solea vermeuleni,NA,NA,buoyant (pelagic)
Scomberomorus commerson,NA,NA,buoyant (pelagic)
Belone angusticeps,NA,NA,on the bottom (demersal)
Serranus pantherinus,NA,1,
Serranus pantherinus,NA,1,
Serranus pantherinus,NA,1.27,
Trachurus trecae,NA,NA,buoyant (pelagic)
Bathylagus milleri,NA,NA,buoyant (pelagic)
Sparus aurata,50,2,
Hippocampus sp. B,NA,NA,in brood pouch
Sprattus sprattus balticus,NA,1.76,buoyant (pelagic)
Sprattus sprattus balticus,NA,9.33,buoyant (pelagic)
Sprattus sprattus balticus,NA,7.83,buoyant (pelagic)
Sprattus sprattus balticus,NA,6.75,buoyant (pelagic)
Sprattus sprattus balticus,NA,5.79,buoyant (pelagic)
Sprattus sprattus balticus,NA,5.17,buoyant (pelagic)
Sprattus sprattus balticus,NA,4.43,buoyant (pelagic)
Sprattus sprattus balticus,NA,4.06,buoyant (pelagic)
Sprattus sprattus balticus,NA,3.65,buoyant (pelagic)
Sprattus sprattus balticus,NA,3.36,buoyant (pelagic)
Sprattus sprattus balticus,NA,2.95,buoyant (pelagic)
Sprattus sprattus balticus,NA,2.77,buoyant (pelagic)
Sprattus sprattus balticus,NA,2.48,buoyant (pelagic)
Sprattus sprattus balticus,NA,2.32,buoyant (pelagic)
Sprattus sprattus balticus,NA,2.17,buoyant (pelagic)
Sprattus sprattus balticus,NA,2.13,buoyant (pelagic)
Sprattus sprattus balticus,NA,1.88,buoyant (pelagic)
Sprattus sprattus balticus,NA,1.8,buoyant (pelagic)
Sprattus sprattus balticus,NA,11.5,buoyant (pelagic)
Capros aper,NA,NA,buoyant (pelagic)
Sardinella pinnula,0,NA,
Stolephorus naso,NA,NA,
Oncorhynchus mykiss,NA,NA,in sand or gravel
Rajella barnardi,NA,NA,on the bottom (demersal)
Tylosurus issajewi,NA,NA,on the bottom (demersal)
Raja polystigma,NA,NA,in sand or gravel
Acanthurus leucosternum,NA,NA,buoyant (pelagic)
Hippocampus lichtensteinii,NA,NA,in brood pouch
Sebastes chlorostictus,NA,NA,in female (livebearers)
Raja doutrei,NA,NA,on the bottom (demersal)
Hippocampus gracilissimus,NA,NA,in brood pouch
Brotula barbata,NA,NA,buoyant (pelagic)
Bathyraja violacea,NA,NA,in sand or gravel
Hippocampus colemani,NA,NA,in brood pouch
Trachinus lineatus,NA,4.5,buoyant (pelagic)
Hippocampus sp. 5,NA,NA,in brood pouch
Hippocampus sp. 3,NA,NA,in brood pouch
Hippocampus sp. 2,NA,NA,in brood pouch
Hippocampus sp. 1,NA,NA,in brood pouch
Oncorhynchus kisutch,NA,NA,
Mugil septentrionalis,NA,NA,buoyant (pelagic)
Bathylagus longirostris,NA,NA,buoyant (pelagic)
Lethrinus nematacanthus,NA,1.63,buoyant (pelagic)
Hemiramphus melanochir,NA,NA,fixed on plant or stone
Raja macrocauda,NA,NA,in sand or gravel
Seriola pappei,NA,3,buoyant (pelagic)
Brotula ordwayi,NA,NA,buoyant (pelagic)
Serranus semi punctatus,NA,0.8,
Raja polyommata,NA,NA,on the bottom (demersal)
Chanos chanos,44,1.1,buoyant (pelagic)
Chanos chanos,44,1.2,buoyant (pelagic)
Chanos chanos,44,1.11,buoyant (pelagic)
Chanos chanos,44,1,buoyant (pelagic)
Trachurus suareus,NA,NA,buoyant (pelagic)
Epinephelus fulvus,NA,NA,
Stolephorus devisi,NA,NA,
Chaetodon reticulatus,NA,NA,buoyant (pelagic)
Raja erinaceus,NA,NA,in sand or gravel
Gadus morhua,100,30,buoyant (pelagic)
Gadus morhua,100,30,buoyant (pelagic)
Gadus morhua,100,30,buoyant (pelagic)
Gadus morhua,100,10.5,buoyant (pelagic)
Centropomus rubens,NA,NA,in mouth (mouthbrooders)
Anchoviella heteroloba,NA,NA,buoyant (pelagic)
Salmo ventricosus,NA,NA,
Oncorhynchus keta,NA,NA,in sand or gravel
Belone timucoides,NA,NA,on the bottom (demersal)
Raja brachyurops,NA,NA,on the bottom (demersal)
Tylosurus crocodilus,NA,NA,on the bottom (demersal)
Pollachius virens,NA,9,buoyant (pelagic)
Haemulon boschmae,NA,NA,buoyant (pelagic)
Epinephelus tauvina,NA,1,
Epinephelus tauvina,NA,1,
Epinephelus tauvina,NA,1.27,
Scatophagus quadratus,NA,0.92,buoyant (pelagic)
Belone stolzmanni,NA,NA,fixed on plant or stone
Makaira perezi,NA,NA,buoyant (pelagic)
Tylosurus acus melanotus,NA,NA,on the bottom (demersal)
Plotosus megastomus,NA,NA,
Brotula townsendi,NA,NA,buoyant (pelagic)
Bathylagus schmidti,NA,NA,buoyant (pelagic)
Pterocaesio tile,NA,NA,buoyant (pelagic)
Oncorhynchus tshawytsha,NA,NA,
Rostroraja alba,NA,NA,in sand or gravel
Lichia amia,NA,NA,buoyant (pelagic)
Hippoglossoides platessoides,NA,14,buoyant (pelagic)
Trachurus symmetricus,0,1.5,buoyant (pelagic)
Raja asterias,NA,NA,in sand or gravel
Hippocampus fisheri,NA,NA,in brood pouch
Anguilla vulgaris,NA,NA,buoyant (pelagic)
Sphaeramia orbicularis,NA,NA,in mouth (mouthbrooders)
Trachurus mediterraneus ponticus,NA,NA,buoyant (pelagic)
Auxis vulgaris,16,NA,buoyant (pelagic)
Sargocentron rubrum,NA,NA,buoyant (pelagic)
Cirrhitus pinnulatus,NA,NA,buoyant (pelagic)
Bathylagus wesethy,NA,NA,buoyant (pelagic)
Anchoa hepsetus,NA,NA,buoyant (pelagic)
Tylosurus punctulatus,NA,NA,on the bottom (demersal)
Seriola picturata,NA,NA,buoyant (pelagic)
Pseudocaranx dentex,NA,1.17,buoyant (pelagic)
Raja dissimilis,NA,NA,on the bottom (demersal)
Brevoortia tyrannus,NA,2,buoyant (pelagic)
Amblyglyphidodon curacao,13,NA,
Mullus barbatus auratus,NA,NA,buoyant (pelagic)
Salmo trutta pallaryi,NA,NA,
Raja doellojuradoi,NA,NA,in sand or gravel
Salvelinus lepechini melanostomus,NA,NA,
Gaidropsarus mustellaris,NA,NA,buoyant (pelagic)
Argentina pretiosa,NA,NA,in sand or gravel
Trigla pini,NA,NA,buoyant (pelagic)
Hippoglossus hippoglossus,NA,NA,buoyant (pelagic)
Lophius pictus,NA,NA,buoyant (pelagic)
Anchoviella commersonii,NA,NA,buoyant (pelagic)
Coryphaena rupestris,NA,3.75,
Bathyraja schroederi,NA,NA,on the bottom (demersal)
Serranus ouatalibi,NA,NA,
Hydrolagus lemures,NA,NA,on the bottom (demersal)
Scomber trachurus,NA,NA,buoyant (pelagic)
Raja smirnovi,NA,NA,in sand or gravel
Eucinostomus lefroyi,NA,NA,buoyant (pelagic)
Brotula clarki,NA,NA,buoyant (pelagic)
Atherina presbyter,NA,NA,fixed on plant or stone
Leiognathus nucleasis,NA,1.28,buoyant (pelagic)
Leiognathus nucleasis,NA,1.56,buoyant (pelagic)
Cyclopterus lumpus,NA,14,on the bottom (demersal)
Sarda orientalis,NA,NA,
Raja tobae,NA,NA,in sand or gravel
Alepes djeddaba,NA,NA,buoyant (pelagic)
Sprattus sprattus,NA,1.76,buoyant (pelagic)
Sprattus sprattus,NA,9.33,buoyant (pelagic)
Sprattus sprattus,NA,7.83,buoyant (pelagic)
Sprattus sprattus,NA,6.75,buoyant (pelagic)
Sprattus sprattus,NA,5.79,buoyant (pelagic)
Sprattus sprattus,NA,5.17,buoyant (pelagic)
Sprattus sprattus,NA,4.43,buoyant (pelagic)
Sprattus sprattus,NA,4.06,buoyant (pelagic)
Sprattus sprattus,NA,3.65,buoyant (pelagic)
Sprattus sprattus,NA,3.36,buoyant (pelagic)
Sprattus sprattus,NA,2.95,buoyant (pelagic)
Sprattus sprattus,NA,2.77,buoyant (pelagic)
Sprattus sprattus,NA,2.48,buoyant (pelagic)
Sprattus sprattus,NA,2.32,buoyant (pelagic)
Sprattus sprattus,NA,2.17,buoyant (pelagic)
Sprattus sprattus,NA,2.13,buoyant (pelagic)
Sprattus sprattus,NA,1.88,buoyant (pelagic)
Sprattus sprattus,NA,1.8,buoyant (pelagic)
Sprattus sprattus,NA,11.5,buoyant (pelagic)
Lutjanus surinamensis,NA,NA,buoyant (pelagic)
Caranx microbrachium,NA,NA,buoyant (pelagic)
Sebastes caurinus,NA,NA,in female (livebearers)
Prionotus scitulus longipennis,NA,NA,buoyant (pelagic)
Trachurus declivis,NA,NA,buoyant (pelagic)
Belone pacifica,NA,NA,on the bottom (demersal)
Liza ramada,NA,NA,
Trachinus vipera,NA,NA,buoyant (pelagic)
Prionotus paralatus,NA,NA,buoyant (pelagic)
Phycis blennoides,NA,NA,buoyant (pelagic)
Anodontostoma chacunda,NA,NA,buoyant (pelagic)
Belone platyura,NA,NA,on the bottom (demersal)
Thalassoma pavo,NA,NA,buoyant (pelagic)
Raja microocellata,NA,NA,in sand or gravel
Engraulis mordax,35,NA,buoyant (pelagic)
Scomber punctatus,NA,NA,buoyant (pelagic)
Belone imperialis,NA,NA,on the bottom (demersal)
Sebastes ijimae,NA,NA,in female (livebearers)
Caesio caerulaurea,NA,0.96,buoyant (pelagic)
Harengula forsteri,NA,0.71,buoyant (pelagic)
Stolephorus hamiltonii,NA,NA,buoyant (pelagic)
Scophthalmus maximus,39,3,buoyant (pelagic)
Scophthalmus maximus,39,7,buoyant (pelagic)
Scophthalmus maximus,39,5.42,buoyant (pelagic)
Scophthalmus maximus,39,5.29,buoyant (pelagic)
Scophthalmus maximus,39,5.17,buoyant (pelagic)
Scophthalmus maximus,39,5,buoyant (pelagic)
Scophthalmus maximus,39,4.71,buoyant (pelagic)
Scophthalmus maximus,39,9,buoyant (pelagic)
Scophthalmus maximus,39,5,buoyant (pelagic)
Scophthalmus maximus,39,7,buoyant (pelagic)
Scophthalmus maximus,39,9.5,buoyant (pelagic)
Raja springeri,NA,NA,on the bottom (demersal)
Sebastes crameri,NA,NA,in female (livebearers)
Hemiramphus saltator,NA,NA,fixed on plant or stone
Raja gudgeri,NA,NA,on the bottom (demersal)
Hydrolagus africanus,NA,NA,on the bottom (demersal)
Hippocampus queenslandicus,NA,NA,in brood pouch
Raja robertsi,NA,NA,on the bottom (demersal)
Acanthurus zebra,NA,1.08,buoyant (pelagic)
Stolephorus insularis,NA,NA,
Anchoviella peruana,NA,NA,
Raja falsavela maggiore,NA,NA,in sand or gravel
Prionotus tribulus crassiceps,NA,NA,buoyant (pelagic)
Coregonus rondeletii,19,NA,
Oncorhynchus masu,NA,NA,in sand or gravel
Gaidropsarus pacificus,NA,NA,buoyant (pelagic)
Liza ramado,NA,NA,
Limanda limanda,NA,3,buoyant (pelagic)
Limanda limanda,NA,7,buoyant (pelagic)
Limanda limanda,NA,12,buoyant (pelagic)
Limanda limanda,NA,12,buoyant (pelagic)
Stolephorus valenciennesi,NA,NA,buoyant (pelagic)
Rajella sadowskyii,NA,NA,on the bottom (demersal)
Salmo venernensis,NA,NA,on the bottom (demersal)
Phycis tinca,NA,NA,buoyant (pelagic)
Raja smithii,NA,NA,on the bottom (demersal)
Spratelloides japonicus,NA,NA,on the bottom (demersal)
Serranus lamprurus,NA,NA,buoyant (pelagic)
Anguilla oceanica,NA,NA,
Caranx symmetricus,0,1.5,buoyant (pelagic)
Cynoscion parvipinnis,NA,NA,buoyant (pelagic)
Serranus suillus,NA,NA,buoyant (pelagic)
Lethrinus miniatus,NA,NA,buoyant (pelagic)
Lepidopsetta bilineata,NA,NA,on the bottom (demersal)
Zearaja chilensis,NA,NA,on the bottom (demersal)
Raja schmidti,NA,NA,in sand or gravel
Scomber platinoides,NA,1.17,buoyant (pelagic)
Eptatretus cirrhatus,NA,NA,on the bottom (demersal)
Acanthurus nigricauda,NA,NA,buoyant (pelagic)
Bathyraja aleutica,NA,NA,in sand or gravel
Plotosus tandanus,NA,8.5,on the bottom (demersal)
Haemulon aurolineatum,NA,NA,buoyant (pelagic)
Trachipterus semiophorus,NA,NA,buoyant (pelagic)
Stolephorus zollingeri,47,NA,buoyant (pelagic)
Molva molva,NA,NA,buoyant (pelagic)
Raja clavata,NA,NA,in sand or gravel
Cepola macrophthalma,NA,NA,buoyant (pelagic)
Caranx rhonchus,NA,NA,buoyant (pelagic)
Raja spinacidermis,NA,NA,on the bottom (demersal)
Chimaera monstrosa,NA,NA,on the bottom (demersal)
Raja cerva,NA,NA,in sand or gravel
Salmo mykiss aguabonita,NA,NA,in sand or gravel
Acanthurus nigroris,NA,NA,buoyant (pelagic)
Decapterus macrosoma,NA,NA,
Phycis marginatus,NA,1.25,buoyant (pelagic)
Raja echinorhyncha,NA,NA,on the bottom (demersal)
Sebastes baramenuke,NA,NA,in female (livebearers)
Haemulon bonariense,NA,NA,buoyant (pelagic)
Bathyraja brachyurops,NA,NA,on the bottom (demersal)
Seriola tapeinometopon,NA,NA,buoyant (pelagic)
Atlantoraja castelnaui,NA,NA,in sand or gravel
Scomber germon,NA,NA,buoyant (pelagic)
Mullus surmuletus,NA,NA,buoyant (pelagic)
Seriolella punctata,NA,NA,buoyant (pelagic)
Archosargus rhomboidalis,21,NA,
Epinephelus guttatus,NA,1.12,buoyant (pelagic)
Argentina yarrelli,NA,NA,buoyant (pelagic)
Lophius histrio ocellatus,NA,NA,buoyant (pelagic)
Rastrelliger kanagurta,NA,NA,buoyant (pelagic)
Sillago schomburgkii,NA,NA,
Trachurus trachurus,NA,NA,buoyant (pelagic)
Coregonus muksun,NA,NA,in sand or gravel
Leucoraja circularis,NA,NA,in sand or gravel
Raja agassizi,NA,NA,on the bottom (demersal)
Raja powelli,NA,NA,on the bottom (demersal)
Rajella lintea,NA,NA,in sand or gravel
Selene dorsalis,NA,NA,buoyant (pelagic)
Coregonus sikus,NA,NA,
Haemulon flavolineatum,NA,NA,buoyant (pelagic)
Morone saxatilis,33,NA,buoyant (pelagic)
Epinephelus polyphekadion,NA,0.8,buoyant (pelagic)
Hemiramphus obtusus,NA,35,on the bottom (demersal)
Pleuragramma antarctica,NA,67.5,buoyant (pelagic)
Gadus macrocephalus,NA,29,on the bottom (demersal)
Trachinus radiatus,NA,NA,buoyant (pelagic)
Abudefduf caroli,NA,NA,in open nest
Tylosurus terebra,NA,NA,on the bottom (demersal)
Uranoscopus scaber,NA,NA,buoyant (pelagic)
Raja undulata,NA,NA,in sand or gravel
Salmo labradoricus,40,NA,
Sebastes brevispinus,NA,NA,in female (livebearers)
Centropomus mullus,46,4.67,buoyant (pelagic)
Centropomus mullus,46,2.29,buoyant (pelagic)
Centropomus mullus,46,2.57,buoyant (pelagic)
Sarda sarda,NA,NA,buoyant (pelagic)
Hyporhamphus rosae,NA,NA,buoyant (pelagic)
Mugil rammelsbergii,NA,1.54,buoyant (pelagic)
Mugil rammelsbergii,NA,2.04,buoyant (pelagic)
Mugil rammelsbergii,NA,1.5,buoyant (pelagic)
Mugil rammelsbergii,NA,2.14,buoyant (pelagic)
Mugil rammelsbergii,NA,1.08,buoyant (pelagic)
Raja cervigoni,NA,NA,on the bottom (demersal)
Bathyraja meridionalis,NA,NA,on the bottom (demersal)
Lepidorhombus boscii,NA,NA,buoyant (pelagic)
Cephalopholis fulva,NA,NA,
Stolephorus taty,NA,NA,
Raja trachyderma,NA,NA,on the bottom (demersal)
Sparidentex hasta,0,1.66,
Promethichthys prometheus,NA,NA,buoyant (pelagic)
Leucoraja fullonica,NA,NA,in sand or gravel
Cynoscion nothus,NA,NA,buoyant (pelagic)
Pomadasys davidsonii,NA,NA,buoyant (pelagic)
Salmo pallidus,NA,NA,on the bottom (demersal)
