cell_id,n_dives_extrap
4856,523
5083,523
5084,523
5087,523
5289,5227
5295,523
5491,1568
5673,523
5675,523
5676,6272
5830,523
5957,5227
6207,523
6208,523
6336,523
6426,3136
6551,523
6552,1568
6580,3659
6581,23520
6582,1045
6688,1045
6721,1568
6722,2613
6723,26133
6862,17248
6863,1568
6864,1568
6865,81536
7003,4704
7004,3659
7150,15680
7300,523
7473,3659
7637,523
7645,1045
7653,523
7838,1045
7846,2091
7853,523
7854,3136
7855,1045
7856,8363
7857,8363
7858,3659
7863,2091
8063,5749
8066,315692
8067,1568
8068,1045
8070,1045
8071,2091
8073,6795
8074,523
8076,1568
8077,1568
8287,9408
8299,10453
8301,2613
8302,4181
8303,11499
8304,58016
8311,10976
8527,8885
8539,18816
8540,24043
8541,3659
8543,20384
8544,4704
8552,4704
8765,523
8768,523
8783,3136
8784,1045
8785,16203
8786,128054
8789,3136
8790,59584
8791,523
9016,523
9018,523
9020,523
9037,4704
9038,3136
9041,1045
9265,2613
9266,3659
9282,523
9283,13589
9288,1045
9508,12544
9509,10976
9525,1568
9526,5227
9527,1045
9528,2091
9749,523
9750,15157
9751,21952
9753,523
9754,24043
9770,7840
9771,27179
9772,4181
9773,17248
9774,183980
9775,2091
9776,24043
9777,17248
9998,523
9999,3659
10000,523
10001,37632
10009,3136
10016,162550
10017,7317
10018,10976
10019,6795
10020,105579
10021,1045
10022,5227
10156,523
10240,2613
10241,1568
10243,6795
10244,8363
10248,4181
10253,2091
10254,2613
10255,8885
10256,1568
10264,3136
10265,16725
10266,38678
10267,1568
10268,12021
10269,523
10270,523
10271,9931
10272,4181
10274,1045
10279,1045
10485,523
10486,3136
10494,1045
10495,6272
10505,92513
10506,1045
10507,523
10516,18293
10517,1568
10736,127531
10740,523
10741,523
10742,3136
10745,2091
10746,523
10752,523
10757,523
10758,523
10971,1568
10972,1568
10973,1568
10975,2613
10976,12021
10977,32406
10982,523
10983,4181
10984,1045
10985,1045
10986,3659
10987,6272
10988,523
10991,19861
10993,1045
11204,97739
11205,2613
11206,1568
11207,37110
11209,2613
11213,1568
11214,4181
11215,4704
11216,5749
11343,523
11425,6272
11430,523
11434,13067
11435,10976
11436,5227
11649,5749
11650,1568
11652,523
11656,523
11657,3136
11658,64288
11659,59584
11795,10976
11871,5749
11872,1568
11873,4181
11877,8363
11878,49131
11879,1045
11881,160982
11882,29792
11883,9408
11886,1045
11887,1045
11888,468835
11889,94603
12112,11499
12116,1568
12117,5227
12118,9931
12119,1045
12120,2091
12260,1045
12346,1568
12347,16203
12348,6272
12349,55403
12350,2091
12351,4181
12352,16203
12353,1045
12496,4704
12591,16203
12592,98785
12593,68992
12594,13067
12596,523
12600,523
12601,1045
12745,1045
12746,5227
12747,18293
12841,2091
12845,523
12847,2091
12848,523
12850,1045
12851,3136
12998,1568
12999,19861
13000,88854
13100,6795
13247,8363
13248,1045
13249,1568
13250,4704
13342,14635
13343,6795
13344,17771
13345,4704
13346,83627
13496,5227
13497,3136
13498,3136
13499,2613
13500,2091
13501,10453
13507,2613
13592,17248
13593,1045
13744,9408
13745,31360
13747,1568
13842,54880
13843,3136
13844,25611
13997,112897
13998,88331
14020,523
14098,5227
14099,33451
14100,523
14257,8363
14358,1045
14359,2091
14522,523
14621,1568
14622,2613
14623,2613
14625,523
14892,4704
14895,1045
15064,523
15171,2091
15172,63243
15173,4181
15175,523
15176,523
15179,4181
15344,523
15345,3659
15450,3659
15452,42336
15453,199137
15454,98262
15627,1045
15634,13067
15635,6272
15736,60630
15738,523
15740,23520
15741,63766
15742,13589
15750,1568
15751,10976
15752,7840
15931,2613
16034,26133
16035,94081
16036,15680
16039,1568
16042,1045
16043,10453
16044,25611
16225,523
16334,15680
16335,4704
16336,1568
16338,32406
16339,153665
16340,12021
16341,3136
16344,14112
16345,523
16346,1045
16348,4704
16349,64288
16350,20384
16351,2091
16369,523
16532,3659
16634,523
16635,1568
16637,20384
16638,4704
16639,61675
16640,15157
16641,6272
16643,467267
16644,248791
16645,239383
16646,60107
16650,523
16651,5749
16656,27701
16657,13067
16659,17771
16660,523
16681,523
16844,72128
16946,4704
16947,3136
16948,5227
16949,1045
16958,19861
16959,4181
16960,40246
16961,16725
16962,1568
16968,14635
16969,6795
16970,21952
16971,1568
16996,2091
17166,2091
17167,5749
17269,7840
17270,16725
17271,147393
17280,30838
17281,1568
17283,8363
17284,27179
17285,3136
17288,22997
17293,11499
17294,24565
17295,6272
17296,3136
17497,19861
17498,523
17499,4704
17601,3136
17602,1568
17603,134849
17604,287991
17613,35019
17618,15157
17619,5227
17626,523
17628,523
17828,2091
17829,2613
17830,9408
17831,1045
17934,1568
17935,4181
17937,40246
17938,63243
17947,523
17949,36587
17955,2613
17967,1045
18160,523
18161,6272
18162,6272
18164,1568
18165,523
18270,3659
18271,22997
18272,523
18283,2613
18284,2613
18285,3136
18286,17771
18292,6272
18293,24043
18295,2613
18296,523
18300,1568
18301,1045
18306,2091
18500,1568
18610,4181
18624,2613
18626,2613
18633,4704
18634,14635
18637,33451
18643,523
18644,3136
18647,23520
18837,19339
18949,2613
18954,10976
18955,6795
18964,6272
18977,3659
18978,3659
18980,523
18981,1045
18982,2613
18983,12544
19179,1045
19289,29792
19291,3136
19295,20907
19296,45472
19297,2613
19298,523
19299,3659
19321,1568
19322,5749
19324,15157
19332,523
19528,2613
19529,2091
