cell_id,suitable
4856,1
5083,1
5084,1
5087,1
5289,1
5295,1
5491,1
5673,1
5675,1
5676,1
5830,1
5957,1
6207,1
6208,1
6336,1
6426,1
6551,1
6552,1
6580,1
6581,1
6582,1
6688,1
6721,1
6722,1
6723,1
6862,1
6863,1
6864,1
6865,1
7003,1
7004,1
7150,1
7300,1
7473,1
7637,1
7645,1
7653,1
7838,1
7846,1
7853,1
7854,1
7855,1
7856,1
7857,1
7858,1
7863,1
8063,1
8066,1
8067,1
8068,1
8070,1
8071,1
8073,1
8074,1
8076,1
8077,1
8287,1
8299,1
8301,1
8302,1
8303,1
8304,1
8311,1
8527,1
8539,1
8540,1
8541,1
8543,1
8544,1
8552,1
8765,1
8768,1
8783,1
8784,1
8785,1
8786,1
8789,1
8790,1
8791,1
9016,1
9018,1
9020,1
9037,1
9038,1
9041,1
9265,1
9266,1
9282,1
9283,1
9288,1
9508,1
9509,1
9525,1
9526,1
9527,1
9528,1
9749,1
9750,1
9751,1
9753,1
9754,1
9770,1
9771,1
9772,1
9773,1
9774,1
9775,1
9776,1
9777,1
9998,1
9999,1
10000,1
10001,1
10009,1
10016,1
10017,1
10018,1
10019,1
10020,1
10021,1
10022,1
10156,1
10240,1
10241,1
10243,1
10244,1
10248,1
10253,1
10254,1
10255,1
10256,1
10264,1
10265,1
10266,1
10267,1
10268,1
10269,1
10270,1
10271,1
10272,1
10274,1
10279,1
10485,1
10486,1
10494,1
10495,1
10505,1
10506,1
10507,1
10516,1
10517,1
10736,1
10740,1
10741,1
10742,1
10745,1
10746,1
10752,1
10757,1
10758,1
10971,1
10972,1
10973,1
10975,1
10976,1
10977,1
10982,1
10983,1
10984,1
10985,1
10986,1
10987,1
10988,1
10991,1
10993,1
11204,1
11205,1
11206,1
11207,1
11209,1
11213,1
11214,1
11215,1
11216,1
11343,1
11425,1
11430,1
11434,1
11435,1
11436,1
11649,1
11650,1
11652,1
11656,1
11657,1
11658,1
11659,1
11795,1
11871,1
11872,1
11873,1
11877,1
11878,1
11879,1
11881,1
11882,1
11883,1
11886,1
11887,1
11888,1
11889,1
12112,1
12116,1
12117,1
12118,1
12119,1
12120,1
12260,1
12346,1
12347,1
12348,1
12349,1
12350,1
12351,1
12352,1
12353,1
12496,1
12591,1
12592,1
12593,1
12594,1
12596,1
12600,1
12601,1
12745,1
12746,1
12747,1
12841,1
12845,1
12847,1
12848,1
12850,1
12851,1
12998,1
12999,1
13000,1
13100,1
13247,1
13248,1
13249,1
13250,1
13342,1
13343,1
13344,1
13345,1
13346,1
13496,1
13497,1
13498,1
13499,1
13500,1
13501,1
13507,1
13592,1
13593,1
13744,1
13745,1
13747,1
13842,1
13843,1
13844,1
13997,1
13998,1
14020,1
14098,1
14099,1
14100,1
14257,1
14358,1
14359,1
14522,1
14621,1
14622,1
14623,1
14625,1
14892,1
14895,1
15064,1
15171,1
15172,1
15173,1
15175,1
15176,1
15179,1
15344,1
15345,1
15450,1
15452,1
15453,1
15454,1
15627,1
15634,1
15635,1
15736,1
15738,1
15740,1
15741,1
15742,1
15750,1
15751,1
15752,1
15931,1
16034,1
16035,1
16036,1
16039,1
16042,1
16043,1
16044,1
16225,1
16334,1
16335,1
16336,1
16338,1
16339,1
16340,1
16341,1
16344,1
16345,1
16346,1
16348,1
16349,1
16350,1
16351,1
16369,1
16532,1
16634,1
16635,1
16637,1
16638,1
16639,1
16640,1
16641,1
16643,1
16644,1
16645,1
16646,1
16650,1
16651,1
16656,1
16657,1
16659,1
16660,1
16681,1
16844,1
16946,1
16947,1
16948,1
16949,1
16958,1
16959,1
16960,1
16961,1
16962,1
16968,1
16969,1
16970,1
16971,1
16996,1
17166,1
17167,1
17269,1
17270,1
17271,1
17280,1
17281,1
17283,1
17284,1
17285,1
17288,1
17293,1
17294,1
17295,1
17296,1
17497,1
17498,1
17499,1
17601,1
17602,1
17603,1
17604,1
17613,1
17618,1
17619,1
17626,1
17628,1
17828,1
17829,1
17830,1
17831,1
17934,1
17935,1
17937,1
17938,1
17947,1
17949,1
17955,1
17967,1
18160,1
18161,1
18162,1
18164,1
18165,1
18270,1
18271,1
18272,1
18283,1
18284,1
18285,1
